cve_ent,poblacion,nombre,12-01-2020,13-01-2020,14-01-2020,15-01-2020,16-01-2020,17-01-2020,18-01-2020,19-01-2020,20-01-2020,21-01-2020,22-01-2020,23-01-2020,24-01-2020,25-01-2020,26-01-2020,27-01-2020,28-01-2020,29-01-2020,30-01-2020,31-01-2020,01-02-2020,02-02-2020,03-02-2020,04-02-2020,05-02-2020,06-02-2020,07-02-2020,08-02-2020,09-02-2020,10-02-2020,11-02-2020,12-02-2020,13-02-2020,14-02-2020,15-02-2020,16-02-2020,17-02-2020,18-02-2020,19-02-2020,20-02-2020,21-02-2020,22-02-2020,23-02-2020,24-02-2020,25-02-2020,26-02-2020,27-02-2020,28-02-2020,29-02-2020,01-03-2020,02-03-2020,03-03-2020,04-03-2020,05-03-2020,06-03-2020,07-03-2020,08-03-2020,09-03-2020,10-03-2020,11-03-2020,12-03-2020,13-03-2020,14-03-2020,15-03-2020,16-03-2020,17-03-2020,18-03-2020,19-03-2020,20-03-2020,21-03-2020,22-03-2020,23-03-2020,24-03-2020,25-03-2020,26-03-2020,27-03-2020,28-03-2020,29-03-2020,30-03-2020,31-03-2020,01-04-2020,02-04-2020,03-04-2020,04-04-2020,05-04-2020,06-04-2020,07-04-2020,08-04-2020,09-04-2020,10-04-2020,11-04-2020,12-04-2020,13-04-2020,14-04-2020,15-04-2020,16-04-2020,17-04-2020,18-04-2020,19-04-2020,20-04-2020,21-04-2020,22-04-2020,23-04-2020,24-04-2020,25-04-2020,26-04-2020,27-04-2020,28-04-2020,29-04-2020,30-04-2020,01-05-2020,02-05-2020,03-05-2020,04-05-2020,05-05-2020,06-05-2020,07-05-2020,08-05-2020,09-05-2020,10-05-2020,11-05-2020,12-05-2020,13-05-2020,14-05-2020,15-05-2020,16-05-2020,17-05-2020,18-05-2020,19-05-2020,20-05-2020,21-05-2020,22-05-2020,23-05-2020,24-05-2020,25-05-2020,26-05-2020,27-05-2020,28-05-2020,29-05-2020,30-05-2020,31-05-2020,01-06-2020,02-06-2020,03-06-2020,04-06-2020,05-06-2020,06-06-2020,07-06-2020,08-06-2020,09-06-2020,10-06-2020,11-06-2020,12-06-2020,13-06-2020,14-06-2020,15-06-2020,16-06-2020,17-06-2020,18-06-2020,19-06-2020,20-06-2020,21-06-2020,22-06-2020,23-06-2020,24-06-2020,25-06-2020,26-06-2020,27-06-2020,28-06-2020,29-06-2020,30-06-2020,01-07-2020,02-07-2020,03-07-2020,04-07-2020,05-07-2020,06-07-2020,07-07-2020,08-07-2020,09-07-2020,10-07-2020,11-07-2020,12-07-2020,13-07-2020,14-07-2020,15-07-2020,16-07-2020,17-07-2020,18-07-2020,19-07-2020,20-07-2020,21-07-2020,22-07-2020,23-07-2020,24-07-2020,25-07-2020,26-07-2020,27-07-2020,28-07-2020,29-07-2020,30-07-2020,31-07-2020,01-08-2020,02-08-2020,03-08-2020,04-08-2020,05-08-2020,06-08-2020,07-08-2020,08-08-2020
"01",1434635,"AGUASCALIENTES",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,3,1,2,1,1,4,0,17,3,6,5,3,4,1,0,0,2,0,2,4,1,1,0,3,1,2,7,2,12,7,16,12,3,17,13,11,21,11,1,7,17,31,18,27,4,4,3,49,12,16,24,14,0,4,11,43,14,23,27,3,7,36,20,27,30,24,17,8,39,39,36,45,42,15,20,63,60,60,44,60,24,26,73,66,63,63,60,33,24,78,58,73,63,69,15,26,68,54,50,69,56,17,11,38,39,79,69,67,11,8,92,119,53,43,77,21,32,82,83,81,87,72,22,13,51,96,51,72,72,17,21,69,60,59,59,61,31,17,60,73,49,15,0,1
"02",3634868,"BAJA CALIFORNIA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,3,4,5,6,3,2,10,9,7,11,16,7,21,29,44,66,30,38,25,20,70,41,58,58,48,33,44,81,104,102,84,98,46,44,110,108,91,111,85,44,68,112,97,109,89,91,78,91,144,141,118,123,142,75,69,130,125,126,113,145,70,72,215,155,170,228,208,66,79,136,134,127,118,115,84,71,152,169,161,146,152,103,68,170,173,145,147,110,88,93,175,187,150,142,175,84,62,209,193,178,171,171,112,61,207,193,173,190,162,71,91,209,183,150,152,123,51,65,142,157,163,147,127,75,86,141,121,111,106,122,74,57,127,112,105,106,106,44,52,95,54,23,27,3,0
"03",804708,"BAJA CALIFORNIA SUR",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,4,2,0,2,4,4,1,13,7,5,11,16,5,5,23,24,24,22,9,7,5,14,17,5,9,6,3,8,7,12,4,9,13,5,7,10,4,4,14,2,9,6,7,12,10,11,9,6,10,7,16,13,8,5,11,3,11,15,17,8,15,7,9,16,14,22,18,22,13,8,36,18,16,22,22,14,20,53,38,47,29,25,22,21,52,30,47,48,19,35,17,33,47,53,54,41,45,35,66,58,73,70,64,57,48,88,113,92,122,118,38,48,129,121,131,117,89,60,41,152,111,115,117,79,54,32,169,152,120,152,101,64,40,161,142,147,107,80,1
"04",1000617,"CAMPECHE",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,3,0,1,0,0,0,2,1,0,3,2,0,0,2,1,5,2,2,4,3,4,3,6,2,5,7,6,7,4,6,8,4,6,8,8,6,11,11,18,9,16,11,14,14,7,24,20,16,12,15,15,15,17,21,24,16,25,17,14,33,35,31,29,20,19,7,38,23,19,39,41,24,23,42,58,69,74,34,27,21,98,81,104,87,99,54,38,104,92,85,90,94,52,47,69,89,70,92,59,31,36,79,90,90,97,107,51,54,104,62,114,104,89,44,47,104,97,84,79,80,32,22,64,83,67,60,51,31,29,49,60,43,40,15,0
"07",5730367,"CHIAPAS",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,2,0,5,1,0,2,2,4,2,5,1,1,5,2,6,3,3,1,0,5,5,6,3,10,4,7,9,9,11,15,13,9,12,21,9,19,13,18,9,14,31,27,35,34,34,23,21,32,46,67,66,81,40,34,93,65,74,105,99,56,50,146,132,125,142,126,70,70,146,144,114,109,129,70,73,140,129,110,96,107,68,60,96,91,113,95,82,53,40,95,86,98,88,84,42,44,69,54,63,52,64,42,23,43,43,33,31,41,21,24,37,26,29,23,30,10,29,33,21,21,17,34,13,14,21,23,19,17,26,15,9,13,26,30,23,5,0
"08",3801487,"CHIHUAHUA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,3,1,1,0,1,2,3,2,2,5,3,5,8,7,5,9,12,13,8,10,10,12,14,11,19,17,25,28,19,20,24,45,39,37,55,45,37,26,56,59,63,72,46,48,31,60,76,75,63,57,42,50,71,51,78,75,62,54,54,84,68,66,88,67,63,30,78,60,56,49,78,23,34,69,76,50,46,65,28,28,70,54,56,57,43,22,24,49,62,46,54,53,31,22,48,48,49,38,57,28,18,64,67,88,76,53,24,25,73,63,76,54,88,45,27,102,74,87,75,58,41,26,81,83,105,88,63,36,26,52,45,28,24,31,21,16,26,16,10,4,0,0
"09",9018645,"DISTRITO FEDERAL",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,1,1,0,3,12,17,24,21,10,26,34,31,39,24,12,11,25,35,25,50,39,49,35,77,51,55,71,79,57,55,118,127,125,127,147,110,114,268,247,228,250,327,197,185,446,433,399,344,508,247,222,495,535,565,531,327,321,293,718,589,680,704,788,392,354,796,802,879,792,923,586,360,1059,1001,1022,943,893,462,332,1009,892,968,824,904,527,395,1038,898,960,910,931,498,373,995,977,921,856,905,378,315,896,965,909,891,858,412,252,821,861,788,802,863,350,281,928,886,952,839,904,345,211,937,909,910,708,817,359,231,1011,858,1137,1054,1095,597,231,1061,1043,1119,1023,963,448,223,920,908,941,893,833,455,197,776,858,630,286,132,48
"05",3218720,"COAHUILA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,2,2,3,4,0,0,1,6,0,3,4,4,8,18,14,19,20,23,11,5,26,8,18,6,12,9,6,15,16,16,5,9,9,9,9,20,14,9,13,3,4,24,17,13,20,15,5,5,26,31,34,23,18,9,15,29,30,17,32,35,17,12,61,48,42,64,45,35,17,51,54,69,54,89,37,33,101,76,69,77,89,38,41,139,129,122,126,134,57,44,164,184,178,205,204,117,63,270,328,247,203,246,175,108,329,301,311,240,320,191,139,298,353,299,287,232,82,81,380,358,293,287,296,155,101,298,315,289,283,306,171,92,394,360,295,315,238,212,52,291,329,230,139,99,6
"06",785153,"COLIMA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,1,2,0,0,1,2,2,1,1,1,1,1,3,2,1,0,2,0,0,3,1,0,2,3,5,1,1,2,3,1,2,6,4,12,4,3,5,7,7,8,4,7,4,7,7,7,4,7,8,6,4,11,11,11,8,11,11,4,12,14,12,16,13,11,8,15,24,18,18,27,11,15,21,23,20,24,27,17,13,21,22,36,18,34,13,14,33,36,34,37,58,27,22,53,56,35,51,47,44,34,58,64,77,70,59,31,36,48,68,52,63,42,24,34,72,67,52,27,7,0
"10",1868996,"DURANGO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,1,0,0,1,0,1,1,1,0,0,0,0,2,2,1,0,0,0,0,1,0,1,1,0,1,0,0,0,2,2,0,2,10,4,4,2,2,2,5,8,5,3,8,2,6,6,7,3,3,5,11,10,2,1,6,11,10,12,16,3,8,15,7,23,20,23,5,15,27,21,28,23,33,38,12,40,38,29,43,81,22,20,72,69,50,59,54,17,19,69,92,72,83,53,14,15,71,107,94,70,89,52,37,65,87,110,62,76,20,20,69,65,80,115,73,27,25,103,85,89,81,84,30,14,108,113,84,87,71,21,37,114,92,91,72,90,37,17,99,72,81,88,41,3
