cve_ent,poblacion,nombre,29-01-2020,30-01-2020,31-01-2020,01-02-2020,02-02-2020,03-02-2020,04-02-2020,05-02-2020,06-02-2020,07-02-2020,08-02-2020,09-02-2020,10-02-2020,11-02-2020,12-02-2020,13-02-2020,14-02-2020,15-02-2020,16-02-2020,17-02-2020,18-02-2020,19-02-2020,20-02-2020,21-02-2020,22-02-2020,23-02-2020,24-02-2020,25-02-2020,26-02-2020,27-02-2020,28-02-2020,29-02-2020,01-03-2020,02-03-2020,03-03-2020,04-03-2020,05-03-2020,06-03-2020,07-03-2020,08-03-2020,09-03-2020,10-03-2020,11-03-2020,12-03-2020,13-03-2020,14-03-2020,15-03-2020,16-03-2020,17-03-2020,18-03-2020,19-03-2020,20-03-2020,21-03-2020,22-03-2020,23-03-2020,24-03-2020,25-03-2020,26-03-2020,27-03-2020,28-03-2020,29-03-2020,30-03-2020,31-03-2020,01-04-2020,02-04-2020,03-04-2020,04-04-2020,05-04-2020,06-04-2020,07-04-2020,08-04-2020,09-04-2020,10-04-2020,11-04-2020,12-04-2020,13-04-2020,14-04-2020,15-04-2020,16-04-2020,17-04-2020,18-04-2020,19-04-2020,20-04-2020,21-04-2020,22-04-2020,23-04-2020,24-04-2020,25-04-2020,26-04-2020,27-04-2020,28-04-2020,29-04-2020,30-04-2020,01-05-2020,02-05-2020,03-05-2020,04-05-2020,05-05-2020,06-05-2020,07-05-2020,08-05-2020,09-05-2020,10-05-2020,11-05-2020,12-05-2020,13-05-2020,14-05-2020,15-05-2020,16-05-2020,17-05-2020,18-05-2020,19-05-2020,20-05-2020,21-05-2020,22-05-2020,23-05-2020,24-05-2020,25-05-2020,26-05-2020,27-05-2020,28-05-2020,29-05-2020,30-05-2020,31-05-2020,01-06-2020,02-06-2020,03-06-2020,04-06-2020,05-06-2020,06-06-2020,07-06-2020,08-06-2020,09-06-2020,10-06-2020,11-06-2020,12-06-2020,13-06-2020,14-06-2020,15-06-2020,16-06-2020,17-06-2020,18-06-2020,19-06-2020,20-06-2020,21-06-2020,22-06-2020,23-06-2020,24-06-2020,25-06-2020,26-06-2020,27-06-2020,28-06-2020,29-06-2020,30-06-2020,01-07-2020,02-07-2020,03-07-2020,04-07-2020,05-07-2020,06-07-2020,07-07-2020,08-07-2020,09-07-2020,10-07-2020,11-07-2020,12-07-2020,13-07-2020,14-07-2020,15-07-2020,16-07-2020,17-07-2020,18-07-2020,19-07-2020,20-07-2020,21-07-2020,22-07-2020,23-07-2020,24-07-2020,25-07-2020,26-07-2020,27-07-2020,28-07-2020,29-07-2020,30-07-2020,31-07-2020,01-08-2020,02-08-2020,03-08-2020,04-08-2020,05-08-2020,06-08-2020,07-08-2020,08-08-2020,09-08-2020,10-08-2020,11-08-2020,12-08-2020,13-08-2020,14-08-2020,15-08-2020,16-08-2020,17-08-2020,18-08-2020,19-08-2020,20-08-2020,21-08-2020,22-08-2020,23-08-2020,24-08-2020,25-08-2020,26-08-2020,27-08-2020,28-08-2020,29-08-2020,30-08-2020,31-08-2020,01-09-2020,02-09-2020,03-09-2020,04-09-2020,05-09-2020,06-09-2020,07-09-2020,08-09-2020,09-09-2020,10-09-2020,11-09-2020,12-09-2020,13-09-2020,14-09-2020,15-09-2020,16-09-2020,17-09-2020,18-09-2020,19-09-2020,20-09-2020
"01",1434635,"AGUASCALIENTES",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,2,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,2,2,2,0,0,1,6,1,0,0,0,0,0,1,1,2,2,0,0,7,3,5,0,4,0,1,10,5,1,0,3,1,2,5,46,56,75,69,13,0
"02",3634868,"BAJA CALIFORNIA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,2,1,0,0,1,0,2,0,1,0,0,0,1,0,1,1,1,1,2,0,0,2,0,1,1,0,1,2,0,0,1,2,0,0,3,4,1,7,1,0,4,9,5,2,1,1,0,0,3,1,0,2,0,0,2,2,0,2,0,0,0,1,8,3,4,4,2,0,5,0,2,3,1,0,0,5,1,2,1,1,0,1,1,0,2,1,2,0,0,0,2,3,5,1,0,0,2,3,1,2,3,1,0,2,5,1,1,1,0,0,6,3,8,3,4,3,4,8,8,3,9,19,6,3,72,105,120,121,128,27,36,128,44,33,185,149,33,0
"03",804708,"BAJA CALIFORNIA SUR",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,6,0,0,0,0,0,1,0,0,0,0,1,1,1,1,0,2,0,0,1,1,0,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,4,0,0,0,0,1,0,4,4,2,6,4,2,6,2,2,5,2,5,11,8,5,73,141,127,0
"04",1000617,"CAMPECHE",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,1,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,2,0,0,0,0,1,0,0,2,1,1,0,0,2,0,0,0,3,1,0,2,0,2,1,0,0,2,0,1,1,1,0,0,1,3,2,2,5,124,7,0
"07",5730367,"CHIAPAS",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,2,0,0,4,0,1,0,0,0,0,0,0,0,1,1,0,2,0,1,0,0,0,1,0,2,9,17,10,9,0,0,3,1,0,3,0,0,1,1,2,0,1,3,0,0,1,0,0,9,2,2,0,2,0,0,0,0,0,0,0,1,1,0,1,1,0,0,1,0,1,4,0,0,2,1,1,1,0,0,0,1,0,1,0,2,1,0,2,0,0,0,0,0,0,0,1,0,2,0,0,0,1,2,0,1,0,0,0,0,1,0,0,2,0,0,1,1,3,2,1,1,3,7,2,4,26,34,29,0
"08",3801487,"CHIHUAHUA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,2,0,0,1,0,2,0,4,4,1,1,1,5,0,3,2,1,1,4,3,2,4,4,3,0,2,2,2,8,7,5,5,2,4,0,2,5,6,7,7,2,0,11,9,5,3,3,2,2,1,3,3,3,3,0,1,5,1,6,7,7,4,2,5,3,6,6,8,1,0,3,3,3,12,19,6,3,8,7,5,10,7,4,6,7,8,8,11,22,1,1,9,3,6,7,4,4,7,7,5,15,9,6,1,6,6,16,14,9,9,13,9,36,34,20,18,24,27,4,45,42,35,40,50,28,16,56,44,78,78,57,24,37,82,104,112,105,87,60,20,59,135,111,88,95,39,28,157,144,157,169,177,78,42,213,154,70,168,137,30,1
"09",9018645,"DISTRITO FEDERAL",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,2,3,2,5,3,2,6,5,3,7,4,6,5,12,8,11,18,13,17,18,18,30,29,25,25,26,18,52,46,40,55,38,32,32,60,54,69,47,67,46,56,82,99,66,58,77,41,40,58,54,83,71,75,50,30,65,64,65,67,63,39,33,77,60,56,68,58,53,39,93,68,66,81,78,41,33,85,61,90,61,57,44,26,63,107,74,41,67,42,36,78,80,60,92,98,55,22,86,60,70,56,56,39,31,72,55,61,59,53,49,40,66,48,44,62,73,34,24,59,41,55,67,72,47,30,77,62,68,50,79,45,24,92,58,84,71,96,58,35,97,176,143,101,110,77,49,151,120,292,346,610,562,105,499,618,217,2591,3292,1456,19
"05",3218720,"COAHUILA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,5,4,1,0,1,2,2,4,9,3,5,11,6,8,7,12,4,1,19,13,15,18,52,14,6,14,10,13,9,8,9,4,25,24,31,31,23,14,5,32,20,17,9,18,2,4,15,16,16,12,32,12,4,26,32,28,20,16,23,3,40,41,27,22,11,18,16,34,29,15,28,13,8,4,23,34,37,22,34,25,14,26,19,28,18,16,3,5,12,21,32,21,40,29,5,22,42,38,34,33,16,13,25,46,28,29,28,12,20,34,21,47,31,29,19,15,31,41,38,35,31,16,12,32,30,38,21,44,9,7,101,75,59,176,204,174,4
"06",785153,"COLIMA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,1,3,0,1,0,2,2,2,0,1,0,1,1,1,1,9,45,33,0
"10",1868996,"DURANGO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2,3,2,1,0,3,4,1,4,1,0,0,0,3,3,2,8,2,2,1,1,7,6,3,2,1,5,5,5,9,13,9,0,9,6,5,0,1,0,0,3,4,31,81,90,23,80,5,5,4,6,6,0,0,8,8,6,7,5,3,0,13,8,6,5,2,1,2,5,7,10,5,6,1,2,9,12,5,3,7,3,1,7,5,3,5,11,4,2,4,8,4,7,11,5,4,8,15,25,10,16,5,1,13,9,12,5,13,3,2,15,13,49,15,10,9,6,22,13,13,11,19,2,3,17,7,8,110,127,24,1
