cve_ent,poblacion,nombre,06-02-2020,07-02-2020,08-02-2020,09-02-2020,10-02-2020,11-02-2020,12-02-2020,13-02-2020,14-02-2020,15-02-2020,16-02-2020,17-02-2020,18-02-2020,19-02-2020,20-02-2020,21-02-2020,22-02-2020,23-02-2020,24-02-2020,25-02-2020,26-02-2020,27-02-2020,28-02-2020,29-02-2020,01-03-2020,02-03-2020,03-03-2020,04-03-2020,05-03-2020,06-03-2020,07-03-2020,08-03-2020,09-03-2020,10-03-2020,11-03-2020,12-03-2020,13-03-2020,14-03-2020,15-03-2020,16-03-2020,17-03-2020,18-03-2020,19-03-2020,20-03-2020,21-03-2020,22-03-2020,23-03-2020,24-03-2020,25-03-2020,26-03-2020,27-03-2020,28-03-2020,29-03-2020,30-03-2020,31-03-2020,01-04-2020,02-04-2020,03-04-2020,04-04-2020,05-04-2020,06-04-2020,07-04-2020,08-04-2020,09-04-2020,10-04-2020,11-04-2020,12-04-2020,13-04-2020,14-04-2020,15-04-2020,16-04-2020,17-04-2020,18-04-2020,19-04-2020,20-04-2020,21-04-2020,22-04-2020,23-04-2020,24-04-2020,25-04-2020,26-04-2020,27-04-2020,28-04-2020,29-04-2020,30-04-2020,01-05-2020,02-05-2020,03-05-2020,04-05-2020,05-05-2020,06-05-2020,07-05-2020,08-05-2020,09-05-2020,10-05-2020,11-05-2020,12-05-2020,13-05-2020,14-05-2020,15-05-2020,16-05-2020,17-05-2020,18-05-2020,19-05-2020,20-05-2020,21-05-2020,22-05-2020,23-05-2020,24-05-2020,25-05-2020,26-05-2020,27-05-2020,28-05-2020,29-05-2020,30-05-2020,31-05-2020,01-06-2020,02-06-2020,03-06-2020,04-06-2020,05-06-2020,06-06-2020,07-06-2020,08-06-2020,09-06-2020,10-06-2020,11-06-2020,12-06-2020,13-06-2020,14-06-2020,15-06-2020,16-06-2020,17-06-2020,18-06-2020,19-06-2020,20-06-2020,21-06-2020,22-06-2020,23-06-2020,24-06-2020,25-06-2020,26-06-2020,27-06-2020,28-06-2020,29-06-2020,30-06-2020,01-07-2020,02-07-2020,03-07-2020,04-07-2020,05-07-2020,06-07-2020,07-07-2020,08-07-2020,09-07-2020,10-07-2020,11-07-2020,12-07-2020,13-07-2020,14-07-2020,15-07-2020,16-07-2020,17-07-2020,18-07-2020,19-07-2020,20-07-2020,21-07-2020,22-07-2020,23-07-2020,24-07-2020,25-07-2020,26-07-2020,27-07-2020,28-07-2020,29-07-2020,30-07-2020,31-07-2020,01-08-2020,02-08-2020,03-08-2020,04-08-2020,05-08-2020,06-08-2020,07-08-2020,08-08-2020,09-08-2020,10-08-2020,11-08-2020,12-08-2020,13-08-2020,14-08-2020,15-08-2020,16-08-2020,17-08-2020,18-08-2020,19-08-2020,20-08-2020,21-08-2020,22-08-2020,23-08-2020,24-08-2020,25-08-2020,26-08-2020,27-08-2020,28-08-2020,29-08-2020,30-08-2020,31-08-2020,01-09-2020,02-09-2020,03-09-2020,04-09-2020,05-09-2020,06-09-2020,07-09-2020,08-09-2020,09-09-2020,10-09-2020,11-09-2020,12-09-2020,13-09-2020,14-09-2020,15-09-2020,16-09-2020,17-09-2020,18-09-2020,19-09-2020,20-09-2020,21-09-2020,22-09-2020,23-09-2020,24-09-2020,25-09-2020,26-09-2020,27-09-2020,28-09-2020,29-09-2020,30-09-2020,01-10-2020,02-10-2020,03-10-2020,04-10-2020,05-10-2020,06-10-2020,07-10-2020,08-10-2020,09-10-2020,10-10-2020,11-10-2020,12-10-2020,13-10-2020,14-10-2020,15-10-2020,16-10-2020,17-10-2020,18-10-2020,19-10-2020,20-10-2020,21-10-2020,22-10-2020,23-10-2020,24-10-2020,25-10-2020,26-10-2020,27-10-2020,28-10-2020,29-10-2020,30-10-2020,31-10-2020,01-11-2020,02-11-2020,03-11-2020,04-11-2020,05-11-2020,06-11-2020,07-11-2020,08-11-2020,09-11-2020,10-11-2020,11-11-2020,12-11-2020,13-11-2020,14-11-2020,15-11-2020,16-11-2020,17-11-2020,18-11-2020,19-11-2020,20-11-2020,21-11-2020,22-11-2020,23-11-2020,24-11-2020,25-11-2020,26-11-2020,27-11-2020,28-11-2020,29-11-2020,30-11-2020,01-12-2020,02-12-2020,03-12-2020,04-12-2020,05-12-2020,06-12-2020,07-12-2020,08-12-2020,09-12-2020,10-12-2020,11-12-2020,12-12-2020,13-12-2020,14-12-2020,15-12-2020,16-12-2020,17-12-2020,18-12-2020,19-12-2020,20-12-2020,21-12-2020,22-12-2020,23-12-2020,24-12-2020,25-12-2020,26-12-2020,27-12-2020,28-12-2020,29-12-2020,30-12-2020,31-12-2020,01-01-2021,02-01-2021,03-01-2021,04-01-2021,05-01-2021,06-01-2021,07-01-2021,08-01-2021,09-01-2021,10-01-2021,11-01-2021,12-01-2021,13-01-2021,14-01-2021,15-01-2021,16-01-2021,17-01-2021,18-01-2021,19-01-2021,20-01-2021,21-01-2021,22-01-2021,23-01-2021,24-01-2021,25-01-2021,26-01-2021,27-01-2021,28-01-2021,29-01-2021,30-01-2021,31-01-2021,01-02-2021,02-02-2021,03-02-2021,04-02-2021,05-02-2021,06-02-2021,07-02-2021,08-02-2021,09-02-2021,10-02-2021,11-02-2021,12-02-2021,13-02-2021,14-02-2021,15-02-2021,16-02-2021,17-02-2021,18-02-2021,19-02-2021,20-02-2021,21-02-2021,22-02-2021,23-02-2021,24-02-2021,25-02-2021,26-02-2021,27-02-2021,28-02-2021,01-03-2021,02-03-2021,03-03-2021,04-03-2021,05-03-2021,06-03-2021,07-03-2021,08-03-2021,09-03-2021,10-03-2021,11-03-2021,12-03-2021,13-03-2021,14-03-2021,15-03-2021,16-03-2021,17-03-2021,18-03-2021,19-03-2021,20-03-2021,21-03-2021,22-03-2021,23-03-2021,24-03-2021,25-03-2021,26-03-2021,27-03-2021,28-03-2021,29-03-2021,30-03-2021,31-03-2021,01-04-2021,02-04-2021,03-04-2021,04-04-2021,05-04-2021,06-04-2021,07-04-2021,08-04-2021,09-04-2021,10-04-2021,11-04-2021,12-04-2021
"01",1434635,"AGUASCALIENTES",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,1,0,1,0,0,0,1,0,3,3,1,0,1,0,0,2,1,1,1,4,0,0,0,2,1,0,4,1,1,4,3,3,2,2,2,3,4,4,2,5,4,2,4,6,3,7,2,3,3,5,4,6,5,4,4,1,2,6,4,10,4,1,4,2,2,3,4,8,4,2,6,6,3,1,4,4,3,5,3,3,2,3,2,5,2,2,8,9,5,4,3,3,3,3,4,3,2,2,6,2,6,7,5,5,3,4,5,5,6,8,6,4,5,4,5,6,3,2,16,7,5,10,6,4,5,9,6,13,6,8,12,7,8,9,7,2,6,6,4,9,5,7,7,8,5,8,12,6,4,7,5,3,8,9,7,5,11,1,3,8,9,5,2,7,4,6,3,8,8,3,6,3,13,5,11,11,11,11,7,10,7,3,4,5,9,7,7,6,14,13,6,11,19,12,11,10,10,12,18,11,20,23,10,11,9,7,12,19,11,11,14,12,15,7,7,18,18,23,17,10,11,23,15,10,17,8,10,10,10,15,12,4,9,8,10,6,11,13,10,4,5,11,10,8,10,10,10,7,4,5,9,5,7,8,8,6,6,10,16,9,8,9,12,11,12,6,14,14,9,12,11,11,18,13,12,14,12,15,7,19,15,5,16,12,17,8,8,8,16,11,4,8,8,11,8,3,10,10,8,4,7,5,5,6,4,8,8,6,1,4,6,6,5,5,5,2,5,7,3,3,3,6,1,3,1,2,3,5,4,2,1,2,1,0,1,2,2,3,8,2,2,4,2,1,4,3,1,0,0,0
"02",3634868,"BAJA CALIFORNIA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,5,2,5,1,10,5,6,5,8,10,14,9,12,17,13,20,17,23,19,16,23,20,27,20,21,30,26,35,23,23,29,18,30,35,30,28,36,36,29,32,29,38,38,27,31,42,52,33,41,21,26,29,32,38,35,33,38,20,34,31,34,31,27,30,26,39,30,33,20,30,25,33,30,32,24,21,30,24,25,13,21,23,24,25,26,26,21,17,29,32,22,25,27,29,36,45,31,24,23,30,26,25,18,22,9,24,26,19,25,26,18,21,22,16,29,16,24,21,18,23,16,16,17,23,31,15,12,14,20,8,17,21,6,12,22,14,17,29,20,12,11,13,15,13,17,11,12,10,15,9,22,16,17,17,9,14,14,8,21,11,16,9,9,12,7,19,11,12,12,12,12,10,6,10,11,19,10,5,11,11,8,12,6,6,8,8,11,13,4,8,9,8,8,16,7,11,7,11,7,11,11,11,11,8,15,8,18,16,10,14,9,8,15,22,23,9,16,17,15,10,17,13,15,13,13,15,11,14,12,14,17,28,24,21,29,27,24,21,37,29,24,31,35,37,27,36,38,35,39,26,46,42,46,38,35,41,42,55,38,51,66,53,48,59,54,50,52,54,56,48,56,57,47,42,64,37,41,47,53,62,49,45,43,47,35,40,46,37,45,36,35,48,38,43,45,31,21,38,34,27,33,18,35,29,22,24,32,22,17,21,22,15,22,22,22,22,18,12,12,11,17,10,13,6,11,8,15,8,10,13,8,3,6,6,7,7,7,4,5,7,7,6,5,3,2,2,6,3,1,11,9,5,4,8,2,3,3,5,1,4,0,8,2,3,4,3,4,4,5,2,3,2,2,5,1,0
"03",804708,"BAJA CALIFORNIA SUR",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,1,0,0,1,1,1,0,0,1,1,0,0,1,1,2,0,1,0,2,0,1,1,0,0,0,1,1,0,2,0,2,0,1,1,0,1,1,0,1,1,1,0,1,0,1,0,1,0,1,2,0,1,0,0,1,1,2,3,3,0,0,0,1,0,2,2,2,4,4,1,1,1,1,2,0,1,1,1,1,1,3,0,1,5,1,5,4,1,2,2,0,2,3,3,5,7,6,4,4,2,7,2,3,8,4,5,5,7,5,10,6,8,9,13,4,8,6,6,5,8,3,7,9,8,5,13,7,6,9,7,10,10,12,9,8,8,4,7,7,10,4,4,5,8,4,10,6,11,7,3,3,3,1,9,9,3,1,3,5,3,3,1,10,3,5,3,3,3,4,2,3,2,4,4,5,2,2,0,3,5,4,2,4,4,2,2,0,2,1,4,1,3,3,2,4,0,6,1,3,2,2,4,2,0,2,3,3,2,3,3,3,2,1,2,2,1,6,4,1,4,1,3,3,1,1,2,1,1,5,1,3,4,1,0,3,0,5,4,0,3,5,2,3,3,0,1,2,2,2,7,1,2,2,1,2,3,1,8,2,3,5,3,8,5,4,2,5,2,3,1,9,7,5,8,10,5,4,6,8,9,4,7,11,10,6,6,12,10,7,14,3,8,6,10,3,6,13,4,6,13,8,15,9,9,10,6,7,10,5,4,6,4,6,4,6,5,5,8,6,6,4,9,2,4,2,3,2,7,4,2,0,0,2,1,2,6,2,1,3,1,2,3,3,3,2,2,1,0,3,0,3,3,1,1,1,1,1,0,0,2,4,1,6,2,0,0,0,0,0,0
"04",1000617,"CAMPECHE",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,2,0,1,2,2,2,2,1,1,0,3,0,2,2,1,0,1,1,1,1,3,1,2,2,1,4,5,3,2,2,2,4,1,1,1,5,3,5,1,4,3,2,1,2,4,3,3,3,2,8,9,3,2,2,5,7,5,6,3,9,4,5,10,5,5,11,8,7,12,19,14,13,9,14,12,14,10,8,13,20,13,18,19,14,13,13,12,12,17,16,13,19,11,16,10,9,13,12,18,12,9,13,6,11,15,15,19,7,9,12,4,8,9,5,8,5,7,9,10,3,7,4,5,1,4,4,5,2,2,4,1,0,2,12,3,4,2,3,2,2,1,0,2,0,1,2,2,1,2,4,1,4,3,1,2,4,2,3,0,1,1,1,2,2,0,0,1,0,1,1,1,0,1,0,0,0,0,0,0,2,0,0,1,1,1,3,1,0,0,1,0,0,2,0,1,0,0,0,0,0,0,0,0,1,2,0,0,0,1,0,0,0,1,0,0,0,0,2,3,2,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,1,1,3,2,0,2,1,0,0,0,1,1,1,2,3,0,0,0,1,0,3,0,1,1,0,4,1,0,3,3,1,2,3,4,1,0,3,1,3,2,0,1,2,1,3,2,2,1,2,1,3,0,2,2,0,2,4,4,0,2,1,1,3,2,2,3,2,0,2,0,0,1,1,2,2,0,1,2,0,0,0,3,3,3,3,2,1,2,0,2,2,0,1,1,1,1,2,2,1,1,2,1,0,0,1,1,1,1,1,0,2,0,0,0,3,0,2,0
"07",5730367,"CHIAPAS",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,1,1,1,1,2,4,0,0,3,1,1,3,4,7,5,5,5,3,2,3,6,5,12,7,2,11,8,11,13,4,11,14,12,14,11,15,25,22,18,20,10,25,28,28,15,13,24,14,13,15,22,15,17,11,13,11,18,19,22,12,16,14,27,11,18,16,8,12,15,18,10,18,12,14,16,14,16,11,17,12,12,11,8,3,12,10,6,3,8,6,4,8,3,9,5,6,10,4,10,6,6,2,1,3,6,4,3,7,6,1,1,2,2,2,4,3,2,1,1,0,3,3,3,0,2,1,0,2,0,2,2,3,0,0,0,1,0,0,3,0,1,1,1,2,0,0,1,0,0,0,0,2,3,1,0,0,0,0,0,0,1,2,3,0,1,0,0,1,1,0,0,2,0,1,1,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,2,1,0,0,2,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,1,1,1,3,2,3,3,1,0,0,3,0,1,0,1,0,1,3,1,4,4,4,4,1,3,1,2,10,7,3,3,2,7,3,7,3,3,4,9,11,6,6,4,6,8,4,13,8,7,7,4,4,4,2,5,4,1,2,3,5,0,2,1,2,5,2,3,3,1,1,4,1,2,1,2,0,1,0,2,3,2,3,1,2,2,1,0,1,1,2,1,3,1,0,2,1,2,0,1,0,2,3,2,0,2,3,0,1,1,2,0,1,2,1,1,2,1,0,1,5,1,2,0
"08",3801487,"CHIHUAHUA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1,2,6,6,4,1,1,4,3,4,8,4,7,7,6,9,14,7,5,18,10,8,9,8,14,13,20,10,15,11,8,13,19,14,16,14,9,10,17,15,11,7,9,15,17,8,6,12,14,6,10,14,8,12,11,10,6,13,11,9,7,13,16,14,16,11,9,14,9,8,14,10,11,12,8,6,6,6,10,7,6,8,9,4,8,8,8,7,5,10,5,5,12,12,8,13,12,13,10,13,9,5,6,6,5,13,10,7,13,7,9,7,10,9,18,14,12,7,7,6,10,15,12,12,11,8,14,7,10,11,5,5,7,6,8,4,9,7,10,9,6,9,7,9,12,12,5,6,13,7,5,10,13,5,11,6,4,7,13,7,9,7,7,8,6,15,8,6,15,18,12,5,13,10,7,7,10,12,9,16,14,15,6,12,18,23,17,10,22,22,36,32,38,25,34,45,45,48,43,45,42,49,68,78,60,60,74,79,71,71,67,82,90,59,75,98,82,74,74,69,66,64,62,52,63,63,76,50,46,51,55,53,34,49,34,39,42,33,39,28,40,37,27,31,28,19,27,11,22,21,23,14,19,25,24,17,15,11,22,18,16,9,12,15,21,23,14,20,10,19,7,17,11,14,16,19,15,8,19,14,16,19,13,22,21,17,11,11,17,19,8,12,5,12,11,19,11,15,13,13,11,12,9,16,16,10,12,13,8,14,7,7,9,14,8,7,5,8,16,11,2,3,12,11,7,8,10,15,8,9,10,8,8,15,11,5,7,8,15,9,7,9,9,10,5,9,6,10,6,9,6,10,9,2,14,5,3,11,10,8,7,7,11,10,17,9,14,10,8,2,2,3,0
"09",9018645,"DISTRITO FEDERAL",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,1,3,4,2,2,4,7,6,6,7,6,6,15,11,6,17,26,24,11,16,26,26,27,23,31,40,39,50,35,51,58,74,74,62,55,97,94,100,70,85,84,98,102,83,99,92,106,96,120,109,130,126,122,145,141,127,107,139,115,114,129,126,122,109,120,111,101,130,113,104,118,111,105,114,109,122,104,107,109,114,118,102,73,113,103,98,89,65,91,72,69,57,61,73,82,63,55,71,74,59,61,72,61,72,73,48,58,45,58,67,55,67,72,55,55,64,57,54,53,40,52,44,58,53,50,47,35,58,46,47,53,56,54,60,42,52,63,33,48,42,43,45,43,43,40,43,45,42,49,39,42,51,44,56,43,37,48,51,46,46,61,50,44,50,46,47,45,40,45,49,52,52,45,46,55,39,42,44,40,34,36,46,52,43,41,45,54,38,55,43,39,48,47,47,57,46,33,43,42,48,42,49,44,45,33,42,43,51,55,44,56,42,52,40,48,48,41,60,41,44,48,56,49,40,64,57,53,53,54,52,57,51,75,66,66,60,75,62,69,67,74,68,78,85,68,81,76,85,79,68,97,113,89,77,92,81,87,125,107,108,120,118,124,115,129,141,136,146,139,150,148,144,156,151,152,135,176,187,163,175,176,160,166,190,194,190,177,193,163,185,188,203,220,197,188,202,207,190,206,207,236,224,192,202,202,223,239,248,191,191,183,201,199,202,175,175,141,144,145,144,148,148,127,112,126,131,135,102,140,126,100,100,97,114,112,85,106,89,95,88,97,89,93,82,95,104,81,77,95,77,78,103,61,83,86,62,61,58,43,74,55,54,59,66,68,51,38,52,56,52,46,33,39,40,52,39,30,31,39,25,19,19,17,1
"05",3218720,"COAHUILA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,2,2,1,2,1,3,0,1,1,0,0,1,5,1,3,0,0,2,5,2,3,2,2,2,2,0,2,0,0,1,1,2,4,1,3,1,1,1,2,3,0,0,1,3,4,2,0,0,2,1,1,2,6,2,3,0,3,6,1,1,2,2,4,3,6,4,8,7,4,5,9,4,4,8,6,7,12,3,6,4,14,8,6,12,7,13,10,8,19,17,14,13,21,19,11,15,20,15,19,13,17,14,21,23,29,26,19,19,20,24,30,20,23,16,22,13,17,27,19,36,19,35,22,27,26,26,23,30,21,19,30,22,35,20,19,20,27,23,27,15,14,23,17,14,18,15,19,15,30,14,17,27,20,21,14,16,15,12,21,16,17,12,21,18,11,17,12,10,14,7,17,14,9,18,9,13,17,10,12,14,8,9,12,7,21,7,10,10,9,11,13,10,12,18,6,18,16,14,20,17,17,20,20,21,24,24,32,34,34,19,25,29,22,27,38,25,37,47,31,25,32,52,39,26,45,45,33,30,33,35,29,32,38,37,42,34,37,32,22,40,46,40,32,30,26,30,23,24,35,22,30,33,37,31,20,26,30,16,30,23,29,19,19,31,32,23,25,32,21,25,27,22,21,27,38,34,30,33,25,32,21,32,36,36,41,28,24,54,29,34,34,58,38,44,29,44,29,32,50,39,24,24,31,29,16,25,30,18,24,22,30,11,13,19,18,23,16,9,16,12,15,12,9,12,5,11,16,8,10,9,8,11,9,11,4,4,9,4,8,10,4,6,4,6,5,5,3,6,7,7,3,5,4,3,4,6,1,2,2,3,3,1,4,2,2,3,3,1,4,3,2,1,2,0,0,0
"06",785153,"COLIMA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,2,1,0,0,0,0,0,1,0,0,0,1,1,0,1,0,2,1,1,0,4,0,2,1,0,1,0,3,1,0,1,0,1,2,2,0,0,2,1,1,1,1,1,2,2,2,2,4,3,2,4,1,5,1,3,2,0,3,3,1,0,2,3,3,0,3,4,4,11,6,7,4,6,4,7,3,3,5,7,8,1,10,3,4,7,4,4,7,7,10,4,10,5,8,8,4,8,10,9,9,3,7,7,5,4,10,3,5,7,9,9,7,6,11,6,7,5,7,2,7,11,4,1,8,4,6,3,7,5,5,4,6,4,8,4,5,4,2,6,4,6,7,4,7,2,4,2,3,8,7,3,5,10,6,4,7,3,4,4,5,6,9,3,2,7,7,7,6,4,4,2,5,3,7,4,4,1,2,2,3,0,2,4,4,2,5,2,2,2,2,1,3,2,2,2,1,2,0,0,2,1,2,2,1,2,1,4,2,2,0,1,1,0,1,0,3,1,1,2,2,1,1,1,4,3,2,0,0,0,0,3,1,0,1,3,1,4,1,1,2,0,0,4,3,2,6,3,4,2,6,4,1,2,4,5,3,4,3,4,5,11,3,5,6,3,6,4,7,5,6,6,6,2,3,5,6,9,6,7,7,4,2,5,6,8,4,6,6,3,2,12,5,0,5,5,9,7,1,3,4,5,1,4,0,3,3,2,2,1,6,3,2,3,1,2,1,2,0,0,4,2,2,1,0,0,3,1,1,1,2,0,0,0,1,2,1,1,0,1,0,0,0,1,0
"10",1868996,"DURANGO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,1,0,0,1,2,1,0,0,0,0,2,1,0,0,0,1,3,3,2,1,0,0,5,1,0,0,3,3,2,2,4,3,0,3,1,4,1,2,4,4,2,3,2,6,4,7,4,6,6,6,9,2,4,1,3,3,4,5,5,6,2,7,2,2,7,5,2,3,4,4,8,7,7,3,10,7,4,9,4,8,6,7,3,10,3,4,8,1,9,5,4,1,4,8,10,4,4,6,9,9,4,7,6,9,4,6,1,5,6,4,3,2,5,11,4,3,6,5,4,9,5,8,12,9,5,6,6,7,9,5,7,5,4,9,8,4,8,6,6,7,4,13,4,3,5,3,3,3,5,5,8,7,6,4,1,5,7,5,8,3,4,2,10,5,3,3,7,10,6,6,10,7,3,13,6,11,17,6,12,13,11,17,19,17,15,20,15,12,15,16,12,18,16,20,14,14,16,18,11,9,18,23,9,8,13,14,12,20,12,15,17,19,23,17,14,16,15,18,11,21,14,16,13,19,11,3,7,10,17,7,7,8,9,8,10,8,7,6,11,8,6,8,11,1,6,9,14,13,8,8,10,7,8,5,5,14,8,8,9,11,9,11,6,13,15,12,11,5,8,10,11,6,8,10,14,9,11,7,11,3,2,9,8,7,2,9,10,8,6,5,7,3,5,3,5,3,5,3,5,11,6,1,5,5,5,4,3,3,6,3,4,6,2,1,3,1,1,3,6,4,5,1,2,3,9,3,3,2,6,2,2,1,3,3,3,7,3,2,1,3,4,1,2,5,1,1,0,0,0,0
