cve_ent,poblacion,nombre,06-02-2020,07-02-2020,08-02-2020,09-02-2020,10-02-2020,11-02-2020,12-02-2020,13-02-2020,14-02-2020,15-02-2020,16-02-2020,17-02-2020,18-02-2020,19-02-2020,20-02-2020,21-02-2020,22-02-2020,23-02-2020,24-02-2020,25-02-2020,26-02-2020,27-02-2020,28-02-2020,29-02-2020,01-03-2020,02-03-2020,03-03-2020,04-03-2020,05-03-2020,06-03-2020,07-03-2020,08-03-2020,09-03-2020,10-03-2020,11-03-2020,12-03-2020,13-03-2020,14-03-2020,15-03-2020,16-03-2020,17-03-2020,18-03-2020,19-03-2020,20-03-2020,21-03-2020,22-03-2020,23-03-2020,24-03-2020,25-03-2020,26-03-2020,27-03-2020,28-03-2020,29-03-2020,30-03-2020,31-03-2020,01-04-2020,02-04-2020,03-04-2020,04-04-2020,05-04-2020,06-04-2020,07-04-2020,08-04-2020,09-04-2020,10-04-2020,11-04-2020,12-04-2020,13-04-2020,14-04-2020,15-04-2020,16-04-2020,17-04-2020,18-04-2020,19-04-2020,20-04-2020,21-04-2020,22-04-2020,23-04-2020,24-04-2020,25-04-2020,26-04-2020,27-04-2020,28-04-2020,29-04-2020,30-04-2020,01-05-2020,02-05-2020,03-05-2020,04-05-2020,05-05-2020,06-05-2020,07-05-2020,08-05-2020,09-05-2020,10-05-2020,11-05-2020,12-05-2020,13-05-2020,14-05-2020,15-05-2020,16-05-2020,17-05-2020,18-05-2020,19-05-2020,20-05-2020,21-05-2020,22-05-2020,23-05-2020,24-05-2020,25-05-2020,26-05-2020,27-05-2020,28-05-2020,29-05-2020,30-05-2020,31-05-2020,01-06-2020,02-06-2020,03-06-2020,04-06-2020,05-06-2020,06-06-2020,07-06-2020,08-06-2020,09-06-2020,10-06-2020,11-06-2020,12-06-2020,13-06-2020,14-06-2020,15-06-2020,16-06-2020,17-06-2020,18-06-2020,19-06-2020,20-06-2020,21-06-2020,22-06-2020,23-06-2020,24-06-2020,25-06-2020,26-06-2020,27-06-2020,28-06-2020,29-06-2020,30-06-2020,01-07-2020,02-07-2020,03-07-2020,04-07-2020,05-07-2020,06-07-2020,07-07-2020,08-07-2020,09-07-2020,10-07-2020,11-07-2020,12-07-2020,13-07-2020,14-07-2020,15-07-2020,16-07-2020,17-07-2020,18-07-2020,19-07-2020,20-07-2020,21-07-2020,22-07-2020,23-07-2020,24-07-2020,25-07-2020,26-07-2020,27-07-2020,28-07-2020,29-07-2020,30-07-2020,31-07-2020,01-08-2020,02-08-2020,03-08-2020,04-08-2020,05-08-2020,06-08-2020,07-08-2020,08-08-2020,09-08-2020,10-08-2020,11-08-2020,12-08-2020,13-08-2020,14-08-2020,15-08-2020,16-08-2020,17-08-2020,18-08-2020,19-08-2020,20-08-2020,21-08-2020,22-08-2020,23-08-2020,24-08-2020,25-08-2020,26-08-2020,27-08-2020,28-08-2020,29-08-2020,30-08-2020,31-08-2020,01-09-2020,02-09-2020,03-09-2020,04-09-2020,05-09-2020,06-09-2020,07-09-2020,08-09-2020,09-09-2020,10-09-2020,11-09-2020,12-09-2020,13-09-2020,14-09-2020,15-09-2020,16-09-2020,17-09-2020,18-09-2020,19-09-2020,20-09-2020,21-09-2020,22-09-2020,23-09-2020,24-09-2020,25-09-2020,26-09-2020,27-09-2020,28-09-2020,29-09-2020,30-09-2020,01-10-2020,02-10-2020,03-10-2020,04-10-2020,05-10-2020,06-10-2020,07-10-2020,08-10-2020,09-10-2020,10-10-2020,11-10-2020,12-10-2020,13-10-2020,14-10-2020,15-10-2020,16-10-2020,17-10-2020,18-10-2020,19-10-2020,20-10-2020,21-10-2020,22-10-2020,23-10-2020,24-10-2020,25-10-2020,26-10-2020,27-10-2020,28-10-2020,29-10-2020,30-10-2020,31-10-2020,01-11-2020,02-11-2020,03-11-2020,04-11-2020,05-11-2020,06-11-2020,07-11-2020,08-11-2020,09-11-2020,10-11-2020,11-11-2020,12-11-2020,13-11-2020,14-11-2020,15-11-2020,16-11-2020,17-11-2020,18-11-2020,19-11-2020,20-11-2020,21-11-2020,22-11-2020,23-11-2020,24-11-2020,25-11-2020,26-11-2020,27-11-2020,28-11-2020,29-11-2020,30-11-2020,01-12-2020,02-12-2020,03-12-2020,04-12-2020,05-12-2020,06-12-2020,07-12-2020,08-12-2020,09-12-2020,10-12-2020,11-12-2020,12-12-2020,13-12-2020,14-12-2020,15-12-2020,16-12-2020,17-12-2020,18-12-2020,19-12-2020,20-12-2020,21-12-2020,22-12-2020,23-12-2020,24-12-2020,25-12-2020,26-12-2020,27-12-2020,28-12-2020,29-12-2020,30-12-2020,31-12-2020,01-01-2021,02-01-2021,03-01-2021,04-01-2021,05-01-2021,06-01-2021,07-01-2021,08-01-2021,09-01-2021,10-01-2021,11-01-2021,12-01-2021,13-01-2021,14-01-2021,15-01-2021,16-01-2021,17-01-2021,18-01-2021,19-01-2021,20-01-2021,21-01-2021,22-01-2021,23-01-2021,24-01-2021,25-01-2021,26-01-2021,27-01-2021,28-01-2021,29-01-2021,30-01-2021,31-01-2021,01-02-2021,02-02-2021,03-02-2021,04-02-2021,05-02-2021,06-02-2021,07-02-2021,08-02-2021,09-02-2021,10-02-2021,11-02-2021,12-02-2021,13-02-2021,14-02-2021,15-02-2021,16-02-2021,17-02-2021,18-02-2021,19-02-2021,20-02-2021,21-02-2021,22-02-2021,23-02-2021,24-02-2021,25-02-2021,26-02-2021,27-02-2021,28-02-2021,01-03-2021,02-03-2021,03-03-2021,04-03-2021,05-03-2021,06-03-2021,07-03-2021,08-03-2021,09-03-2021,10-03-2021,11-03-2021,12-03-2021,13-03-2021,14-03-2021,15-03-2021,16-03-2021,17-03-2021,18-03-2021,19-03-2021,20-03-2021,21-03-2021,22-03-2021,23-03-2021,24-03-2021,25-03-2021,26-03-2021,27-03-2021,28-03-2021,29-03-2021,30-03-2021,31-03-2021,01-04-2021,02-04-2021,03-04-2021,04-04-2021,05-04-2021,06-04-2021,07-04-2021,08-04-2021,09-04-2021,10-04-2021,11-04-2021,12-04-2021,13-04-2021,14-04-2021,15-04-2021,16-04-2021,17-04-2021,18-04-2021,19-04-2021,20-04-2021,21-04-2021,22-04-2021,23-04-2021,24-04-2021,25-04-2021,26-04-2021,27-04-2021,28-04-2021,29-04-2021,30-04-2021,01-05-2021,02-05-2021,03-05-2021,04-05-2021,05-05-2021,06-05-2021,07-05-2021,08-05-2021,09-05-2021,10-05-2021,11-05-2021,12-05-2021,13-05-2021,14-05-2021,15-05-2021,16-05-2021,17-05-2021,18-05-2021,19-05-2021,20-05-2021,21-05-2021,22-05-2021,23-05-2021,24-05-2021
"01",1434635,"AGUASCALIENTES",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,1,0,1,0,0,0,1,0,3,3,1,0,1,0,0,2,1,1,1,4,0,0,0,2,1,0,4,1,1,4,3,3,2,2,2,3,4,4,2,5,4,2,4,6,3,7,2,3,3,5,4,6,5,4,4,1,2,6,4,10,4,1,4,2,2,3,4,8,4,2,6,6,3,1,4,4,3,5,3,3,2,3,2,5,2,2,8,9,5,4,3,3,3,3,4,3,2,2,6,2,6,7,5,5,3,4,5,5,6,8,6,4,5,4,5,6,3,2,16,7,5,11,6,4,5,9,6,13,6,8,12,7,8,9,7,2,6,6,4,9,5,7,7,8,5,8,12,6,4,7,5,3,8,9,7,5,11,1,3,8,9,5,2,7,4,6,3,8,8,3,6,3,13,5,11,11,11,11,7,10,7,3,4,5,9,7,7,6,14,13,6,11,19,12,11,10,10,13,19,11,20,23,10,11,9,7,12,20,11,11,14,12,15,7,7,18,18,24,17,11,11,23,15,10,17,8,10,10,10,15,12,4,9,8,10,6,11,13,11,4,5,11,10,8,10,10,10,7,4,5,9,5,7,8,8,6,6,10,16,10,8,9,12,11,14,6,15,14,10,12,11,11,18,14,12,14,12,15,7,19,15,5,16,13,17,8,8,8,16,12,4,8,8,11,8,4,10,10,8,4,7,6,5,6,4,8,8,6,1,4,6,6,5,5,5,2,5,7,3,3,3,6,1,3,1,2,3,5,4,2,1,2,1,0,2,3,2,3,8,2,2,5,3,3,4,3,4,3,3,3,5,2,9,6,4,5,5,9,3,3,1,2,5,3,4,1,3,1,5,4,1,0,3,1,1,2,3,0,0,4,1,1,0,0,0,1,0,1,0,0,2,0
"02",3634868,"BAJA CALIFORNIA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,5,2,5,1,10,5,6,5,8,10,14,9,13,20,13,20,17,24,19,16,24,20,27,20,21,30,26,35,24,23,29,18,31,36,30,28,36,36,29,32,29,38,38,27,31,42,52,33,41,21,26,30,32,39,35,33,39,20,34,31,34,31,27,30,26,39,31,33,20,30,25,33,30,32,24,21,30,24,25,13,21,23,24,25,26,26,22,18,29,32,22,25,27,29,36,45,31,24,23,30,26,25,18,22,9,24,26,19,25,26,18,21,22,16,29,16,24,21,18,23,16,16,17,23,31,15,12,14,20,8,17,21,6,12,22,14,17,29,20,12,11,13,15,13,17,11,12,10,15,9,22,16,17,17,9,14,14,8,21,11,16,9,9,12,7,19,11,12,12,12,12,10,6,10,11,19,10,5,11,11,8,12,6,6,8,8,11,13,4,8,9,8,8,16,7,11,7,11,7,11,11,11,11,8,15,8,18,16,10,14,9,8,15,22,23,9,16,17,15,10,17,13,16,13,14,15,12,14,12,14,18,29,24,22,29,28,24,21,37,29,24,32,38,38,29,36,41,35,40,27,47,42,46,40,35,41,44,56,38,52,66,55,49,62,56,53,54,56,59,48,58,59,48,44,66,39,42,47,55,63,50,47,43,48,36,41,47,38,46,37,35,48,40,44,46,33,22,38,34,27,33,19,35,29,22,25,32,22,18,21,22,15,22,22,23,24,18,13,12,12,18,11,13,6,12,8,15,8,10,13,8,3,7,6,7,7,7,4,5,7,7,7,6,3,2,2,6,3,2,11,9,5,4,8,2,3,3,5,1,4,0,9,2,3,4,3,4,5,5,3,3,3,6,6,3,4,4,1,5,4,3,1,5,9,3,1,4,2,4,1,3,1,1,3,3,4,2,3,2,4,5,3,4,7,2,3,2,1,2,1,9,4,4,0,2,0,5,0
"03",804708,"BAJA CALIFORNIA SUR",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,2,0,0,1,0,0,1,1,1,0,0,1,1,0,0,1,1,2,0,1,1,2,0,1,1,0,0,0,1,1,0,2,0,2,0,1,1,0,1,1,0,1,1,1,0,1,0,1,0,1,0,1,2,0,1,0,0,1,1,2,3,3,0,0,0,1,0,2,2,2,4,4,1,1,1,1,2,0,1,1,1,1,1,3,0,1,5,1,5,4,1,2,2,0,2,3,3,5,7,6,4,6,2,7,2,3,8,4,5,5,7,5,10,6,8,9,13,4,8,6,6,5,8,3,7,9,8,5,13,7,6,9,7,10,10,12,9,8,8,4,7,8,10,4,4,5,8,4,10,6,11,7,3,3,3,1,9,9,4,1,3,5,3,3,1,10,3,5,3,3,3,4,2,3,2,4,4,5,2,2,0,3,5,4,2,4,4,2,2,0,2,1,4,1,3,3,2,4,0,6,1,4,2,2,4,2,0,2,3,4,2,3,3,3,2,1,2,2,1,6,4,1,4,1,3,3,1,1,2,2,1,5,1,3,4,1,0,3,0,5,4,0,3,5,2,3,3,0,2,2,2,2,7,1,2,2,1,2,6,1,8,2,3,5,3,9,5,4,3,6,3,3,1,9,7,5,8,10,5,4,6,8,9,4,7,11,10,6,6,12,11,7,14,3,8,6,10,3,6,13,5,6,13,8,16,10,9,11,6,7,10,5,5,6,5,7,4,6,5,5,8,6,6,4,9,2,4,3,3,3,7,4,2,0,0,2,2,2,5,2,1,3,1,3,3,4,4,2,2,1,0,3,0,3,3,1,1,1,2,2,0,0,2,4,1,6,3,0,0,3,0,1,1,3,1,3,5,5,0,1,0,2,3,3,2,1,0,5,1,1,3,0,2,2,2,0,2,0,1,0,2,3,3,2,2,1,3,1,6,3,2,0,1,2,0
"04",1000617,"CAMPECHE",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,2,0,1,2,2,2,2,1,1,0,3,0,2,2,1,0,1,1,1,1,3,1,2,2,1,4,5,3,2,2,2,4,1,1,1,5,3,5,1,4,3,2,1,2,4,3,3,3,2,8,9,3,2,2,6,7,5,6,4,9,5,5,10,4,5,11,8,7,12,19,15,13,9,14,12,16,10,8,13,20,13,18,20,14,13,15,13,14,18,16,13,21,11,17,13,10,13,12,18,14,10,13,6,11,15,15,19,7,9,12,4,8,9,5,9,5,7,9,10,3,7,4,5,1,4,4,5,2,3,4,1,0,2,12,3,4,3,3,3,2,1,1,2,0,1,2,2,1,2,4,1,4,3,1,2,4,2,3,0,1,1,1,2,2,0,0,1,0,1,1,1,0,1,0,0,0,0,1,0,2,0,0,1,1,1,3,1,0,0,1,0,0,2,0,1,0,0,0,0,1,0,0,0,1,2,1,0,0,1,0,0,0,1,0,0,0,0,2,3,2,0,0,0,0,1,1,0,0,0,1,1,1,1,0,0,0,0,1,0,1,0,1,1,3,2,0,2,1,1,0,0,1,1,1,2,3,0,0,0,1,0,3,0,1,1,0,4,1,0,3,3,1,2,3,4,1,0,3,1,3,2,0,1,2,1,3,2,2,1,2,1,3,0,2,2,0,2,4,4,0,2,1,1,3,2,2,3,2,0,2,0,0,1,1,2,2,0,1,2,0,0,0,3,3,3,3,2,1,2,0,2,2,0,1,1,1,1,2,2,1,1,2,1,0,1,1,1,2,1,1,0,2,1,0,2,3,1,2,0,2,2,1,2,0,0,5,0,1,2,0,0,0,1,0,0,1,0,1,0,2,0,1,0,0,1,3,1,2,0,2,0,1,2,2,1,1,0,1,0,0,1
"07",5730367,"CHIAPAS",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,1,1,1,1,1,4,0,0,3,1,1,3,4,7,5,5,5,3,2,3,6,5,12,7,2,11,8,11,13,4,11,14,12,14,11,15,25,22,18,20,11,25,28,28,15,13,24,14,13,15,22,15,17,11,13,11,18,19,22,12,16,14,27,11,18,16,8,12,15,18,10,18,12,14,16,14,16,11,17,12,12,11,8,3,12,10,6,3,8,6,4,8,3,9,5,6,10,4,10,6,6,2,1,3,6,4,3,7,6,1,1,2,2,2,4,3,2,1,1,0,3,3,3,0,2,1,0,2,0,2,2,3,0,0,0,1,0,0,3,0,1,1,1,2,0,0,1,0,0,0,0,2,3,1,0,0,0,0,0,0,1,2,3,0,1,0,0,1,1,0,0,2,0,1,1,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,2,1,0,0,2,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,1,1,1,3,2,3,3,1,0,0,3,0,1,0,1,0,1,3,1,4,4,4,4,2,3,1,2,10,7,3,3,2,7,3,7,3,3,4,9,11,6,7,4,6,8,4,13,8,7,7,4,4,4,2,6,3,1,2,3,5,0,2,1,2,5,2,3,3,1,1,4,1,2,1,2,0,1,0,2,3,2,3,1,2,2,1,0,1,1,2,1,3,1,0,2,1,2,0,1,0,2,3,2,0,2,3,0,1,1,2,0,1,2,1,1,2,1,1,1,6,1,2,1,2,0,1,0,1,0,1,1,1,0,2,1,0,1,0,0,0,0,0,0,1,5,3,1,1,1,2,1,0,0,0,1,3,1,0,1,2,1,1,0,0,0
"08",3801487,"CHIHUAHUA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1,2,6,6,4,1,1,4,3,4,8,4,7,7,6,9,14,7,5,18,10,8,9,8,14,13,20,10,15,11,8,13,19,14,16,14,9,10,17,15,11,7,9,15,17,8,6,12,14,6,10,14,8,12,11,10,6,13,11,9,7,13,16,14,16,11,9,14,9,8,14,10,11,12,8,6,6,6,10,7,6,8,9,4,8,8,8,7,5,10,5,5,12,12,8,13,12,13,10,13,9,5,6,6,5,13,10,7,13,7,9,7,10,9,18,14,12,7,7,6,10,15,12,12,11,8,14,7,10,11,5,5,7,6,8,4,9,7,10,9,6,9,7,9,12,12,5,6,13,7,5,10,13,5,11,6,4,7,13,7,9,7,7,7,6,15,8,6,15,18,12,5,13,10,7,7,10,12,9,16,14,15,6,12,18,23,16,10,22,22,36,32,38,25,34,45,45,48,43,45,42,49,69,78,60,61,75,81,70,71,68,82,92,62,75,98,84,76,74,69,67,65,65,52,64,63,78,52,46,51,55,54,35,49,35,39,42,33,38,28,38,37,27,30,28,20,27,11,22,21,23,14,19,25,24,17,15,11,22,18,16,9,12,15,21,23,14,20,10,19,7,17,11,14,16,19,15,9,19,14,17,19,13,22,21,17,11,11,17,20,8,13,5,13,11,19,11,17,13,13,11,12,9,16,16,10,12,15,8,15,7,7,9,14,8,9,6,8,17,12,2,4,13,11,8,8,10,15,9,9,11,8,8,16,12,8,8,8,16,9,7,10,10,10,7,11,8,12,7,9,6,12,10,2,16,5,4,12,13,14,8,11,16,15,21,13,15,13,21,14,9,16,12,17,13,20,18,16,19,17,8,10,15,12,14,9,9,14,14,15,9,7,19,11,11,11,12,14,5,6,6,8,10,6,8,6,3,4,3,6,0,2,3,5,0
"09",9018645,"DISTRITO FEDERAL",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,1,3,4,2,2,4,7,6,6,7,6,6,15,11,6,17,26,24,11,16,26,26,27,23,31,40,40,50,36,52,57,74,74,63,56,97,94,100,72,85,85,100,103,84,100,94,107,97,121,111,133,127,122,146,141,127,107,140,116,115,129,126,125,109,120,111,102,129,115,106,121,112,105,116,109,124,104,110,112,116,120,104,77,115,106,98,90,66,92,72,69,57,62,73,83,65,56,72,75,59,63,73,62,74,74,50,60,47,58,67,56,68,72,57,56,65,57,54,55,42,53,44,60,53,51,47,35,59,46,47,54,56,54,60,42,52,63,33,48,42,44,46,43,44,40,43,46,43,49,39,43,50,45,56,43,37,49,51,46,46,61,51,44,50,46,48,45,40,48,49,52,52,45,46,55,39,43,44,41,34,36,46,53,43,42,45,54,38,55,43,39,48,47,47,57,47,33,43,43,48,42,49,43,47,33,42,43,51,56,44,56,42,52,40,48,49,41,60,43,44,49,56,50,41,65,58,54,53,57,55,58,52,76,66,67,63,76,64,71,67,76,69,79,87,71,84,76,87,80,69,97,117,90,77,96,82,88,126,111,112,126,120,126,118,132,142,139,146,141,151,152,146,157,155,155,139,179,188,170,180,184,165,169,199,202,199,182,199,172,188,189,207,228,201,192,206,212,192,216,216,246,233,201,209,206,228,247,257,198,193,189,205,202,208,179,180,143,149,148,147,150,155,129,114,127,135,138,107,145,128,102,102,101,121,118,89,110,97,100,92,101,95,96,87,99,104,82,78,101,82,80,105,65,83,89,65,65,64,45,79,58,57,63,71,70,55,41,56,60,57,47,38,44,46,56,42,35,34,43,40,36,26,37,45,39,33,35,28,36,31,29,23,30,34,25,20,22,29,20,30,21,16,21,16,20,10,14,12,15,11,17,20,5,10,4,14,10,8,8,9,2,6,5,7,6,2
"05",3218720,"COAHUILA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,2,2,1,2,1,3,0,1,1,0,0,1,5,1,3,0,0,2,5,2,3,2,2,2,2,0,2,0,0,1,1,2,4,1,3,1,1,1,2,3,0,0,1,3,4,2,0,0,2,1,1,2,6,2,3,0,3,6,1,1,2,2,4,3,6,4,8,7,4,5,9,4,5,8,6,7,12,3,6,4,14,8,6,13,7,13,10,9,19,18,16,13,22,20,11,15,20,15,19,13,17,14,21,23,29,26,19,19,20,24,30,20,23,16,22,14,17,27,19,36,19,35,23,27,26,26,23,30,21,19,31,22,35,20,19,20,27,23,27,15,14,23,17,14,19,15,19,15,30,14,17,27,20,21,14,16,15,12,21,16,17,12,21,18,11,17,12,10,14,7,17,14,9,18,9,13,17,10,12,14,8,9,12,7,22,7,10,10,9,11,13,10,12,18,7,18,16,14,20,17,18,20,20,21,25,24,32,35,34,19,27,30,22,27,38,25,37,46,31,25,32,52,40,26,45,46,34,30,33,35,29,32,39,37,42,34,39,32,22,43,46,40,32,30,26,31,23,24,35,22,30,33,37,31,20,26,30,17,30,24,30,19,20,33,32,23,25,32,22,26,27,22,22,27,38,34,32,33,26,32,21,32,37,38,41,29,24,54,29,34,35,58,38,44,29,44,30,33,51,39,24,24,31,30,17,27,30,18,25,22,30,11,14,20,18,23,17,9,17,13,16,12,9,12,5,11,16,8,10,9,8,11,9,11,4,4,9,4,8,10,4,7,4,7,5,5,3,6,7,7,3,5,4,3,4,6,1,2,2,3,3,2,5,3,2,4,3,2,4,3,2,1,3,0,0,1,3,3,3,1,1,0,1,3,3,0,5,1,0,0,0,1,5,1,1,4,2,1,0,1,1,2,3,2,1,2,2,1,1,0,1,0,1,1,1,0,0,0
"06",785153,"COLIMA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,2,1,0,0,0,0,0,1,0,0,0,1,1,0,1,0,2,1,1,0,4,0,2,1,0,1,0,3,1,0,1,0,1,2,2,0,0,2,1,1,1,1,1,2,2,2,2,4,3,2,4,1,5,1,3,2,0,3,3,1,0,2,3,3,0,3,4,4,11,6,7,4,6,4,7,3,3,5,7,8,1,10,3,4,7,4,4,7,7,10,4,10,5,8,8,4,8,10,9,9,3,7,7,5,4,10,3,5,7,9,9,7,7,11,6,7,5,7,2,7,11,4,1,8,4,6,3,7,5,5,4,6,4,8,4,5,4,2,6,4,6,7,4,7,2,4,2,3,8,7,3,5,10,6,4,7,3,4,4,5,6,9,3,2,7,7,7,6,4,4,2,5,3,7,4,4,1,2,2,3,0,2,4,4,2,5,2,2,2,2,1,3,2,2,2,1,2,0,0,2,1,2,2,1,2,1,4,2,2,0,1,1,0,1,0,3,1,1,2,2,1,1,1,4,3,2,0,0,0,0,3,1,0,1,3,1,4,1,1,2,0,0,4,3,2,6,3,4,2,6,4,1,2,4,5,3,4,3,5,5,11,3,5,6,3,6,4,7,5,6,6,6,2,3,5,6,9,6,7,7,4,2,6,6,8,4,6,6,3,2,12,5,0,5,5,9,7,1,3,4,5,1,4,0,3,3,2,2,1,6,3,2,3,1,2,1,2,0,0,4,2,2,1,0,0,3,1,1,1,2,0,0,0,1,2,1,1,0,1,0,1,0,1,2,2,0,0,1,0,3,2,1,0,0,0,2,2,0,2,1,0,0,0,2,0,1,0,0,1,0,0,2,0,0,0,1,1,0,2,1,0,0,1,0,1,0
"10",1868996,"DURANGO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,1,0,0,1,2,1,0,0,0,0,2,1,0,0,0,1,3,3,2,1,0,0,5,1,0,0,3,3,2,3,4,3,0,3,1,4,1,2,4,4,2,3,2,6,4,7,4,6,6,6,9,2,4,1,3,3,4,5,5,6,2,7,2,2,7,5,2,3,4,4,8,7,7,3,10,7,4,9,4,8,6,7,3,10,3,4,8,1,9,5,4,1,4,8,11,4,4,6,9,9,4,7,7,9,4,6,1,6,6,4,3,2,5,11,4,3,6,5,4,9,5,8,12,9,5,6,6,7,9,5,7,5,4,9,8,4,8,6,6,8,4,13,4,3,5,3,3,3,5,5,8,7,6,4,2,5,7,6,8,3,4,2,10,5,3,4,7,10,6,6,10,7,3,13,7,11,17,6,12,13,11,17,19,18,16,20,16,12,15,16,12,18,16,20,14,14,16,18,11,9,18,24,9,9,15,14,13,19,12,16,19,19,23,18,14,16,16,18,11,21,15,17,12,20,11,3,7,10,17,7,7,8,10,8,10,8,8,6,11,9,7,10,11,1,6,9,14,13,8,8,12,7,8,5,5,14,8,8,9,11,9,12,6,13,15,12,11,6,9,10,11,6,8,10,14,9,11,7,11,3,3,10,9,7,2,10,11,8,6,7,7,3,5,3,5,3,7,3,5,11,6,1,5,5,5,4,3,3,6,3,4,6,2,2,3,1,1,3,6,4,5,1,2,3,10,3,3,2,6,2,2,1,3,3,3,8,4,2,1,3,4,1,3,7,2,5,3,2,2,1,4,1,1,5,3,4,4,1,3,0,2,3,1,1,3,0,1,0,1,1,3,5,5,0,0,0,1,4,2,0,5,1,2,3,0,1,0,1,0,0,0,0
