cve_ent,poblacion,nombre,31-12-2019,01-01-2020,02-01-2020,03-01-2020,04-01-2020,05-01-2020,06-01-2020,07-01-2020,08-01-2020,09-01-2020,10-01-2020,11-01-2020,12-01-2020,13-01-2020,14-01-2020,15-01-2020,16-01-2020,17-01-2020,18-01-2020,19-01-2020,20-01-2020,21-01-2020,22-01-2020,23-01-2020,24-01-2020,25-01-2020,26-01-2020,27-01-2020,28-01-2020,29-01-2020,30-01-2020,31-01-2020,01-02-2020,02-02-2020,03-02-2020,04-02-2020,05-02-2020,06-02-2020,07-02-2020,08-02-2020,09-02-2020,10-02-2020,11-02-2020,12-02-2020,13-02-2020,14-02-2020,15-02-2020,16-02-2020,17-02-2020,18-02-2020,19-02-2020,20-02-2020,21-02-2020,22-02-2020,23-02-2020,24-02-2020,25-02-2020,26-02-2020,27-02-2020,28-02-2020,29-02-2020,01-03-2020,02-03-2020,03-03-2020,04-03-2020,05-03-2020,06-03-2020,07-03-2020,08-03-2020,09-03-2020,10-03-2020,11-03-2020,12-03-2020,13-03-2020,14-03-2020,15-03-2020,16-03-2020,17-03-2020,18-03-2020,19-03-2020,20-03-2020,21-03-2020,22-03-2020,23-03-2020,24-03-2020,25-03-2020,26-03-2020,27-03-2020,28-03-2020,29-03-2020,30-03-2020,31-03-2020,01-04-2020,02-04-2020,03-04-2020,04-04-2020,05-04-2020,06-04-2020,07-04-2020,08-04-2020,09-04-2020,10-04-2020,11-04-2020,12-04-2020,13-04-2020,14-04-2020,15-04-2020,16-04-2020,17-04-2020,18-04-2020,19-04-2020,20-04-2020,21-04-2020,22-04-2020,23-04-2020,24-04-2020,25-04-2020,26-04-2020,27-04-2020,28-04-2020,29-04-2020,30-04-2020,01-05-2020,02-05-2020,03-05-2020,04-05-2020,05-05-2020,06-05-2020,07-05-2020,08-05-2020,09-05-2020,10-05-2020,11-05-2020,12-05-2020,13-05-2020,14-05-2020,15-05-2020,16-05-2020,17-05-2020,18-05-2020,19-05-2020,20-05-2020,21-05-2020,22-05-2020,23-05-2020,24-05-2020,25-05-2020,26-05-2020,27-05-2020,28-05-2020,29-05-2020,30-05-2020,31-05-2020,01-06-2020,02-06-2020,03-06-2020,04-06-2020,05-06-2020,06-06-2020,07-06-2020,08-06-2020,09-06-2020,10-06-2020,11-06-2020,12-06-2020,13-06-2020,14-06-2020,15-06-2020,16-06-2020,17-06-2020,18-06-2020,19-06-2020,20-06-2020,21-06-2020,22-06-2020,23-06-2020,24-06-2020,25-06-2020,26-06-2020,27-06-2020,28-06-2020,29-06-2020,30-06-2020,01-07-2020,02-07-2020,03-07-2020,04-07-2020,05-07-2020,06-07-2020,07-07-2020,08-07-2020,09-07-2020,10-07-2020,11-07-2020,12-07-2020,13-07-2020,14-07-2020,15-07-2020,16-07-2020,17-07-2020,18-07-2020,19-07-2020,20-07-2020,21-07-2020,22-07-2020
"01",1434635,"AGUASCALIENTES",0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,0,0,0,0,0,1,2,0,0,0,2,0,3,2,0,1,0,3,1,4,1,1,9,8,5,17,12,17,12,20,18,33,26,37,36,17,29,38,27,40,41,38,31,12,40,34,31,2,15,22,13,45,41,60,34,22,18,28,82,61,46,89,88,6,23,82,86,113,125,18,17,135,93,76,76,149,35,45,40,126,204,56,63,30,35,32,40,54,70,70,43,46,31,37,69,108,45,23,55,85,50,49,78,44,32,71,91,43,91,113,67,42,62,27,138,67,25,26,29,23,65,54,78,71,53,42,33,22,113,158,61,28,37,5,15,114,137,152,179,63,32,62,86,103,128,72,47,11,63,33,7,1
"02",3634868,"BAJA CALIFORNIA",0,0,0,2,1,1,3,1,1,3,3,0,0,1,1,7,0,2,0,1,5,3,2,1,2,0,0,3,0,1,1,2,2,0,2,0,4,2,0,0,1,0,1,1,0,0,0,0,1,2,1,0,2,1,2,0,1,0,0,0,1,0,3,5,3,0,0,2,0,5,4,4,5,13,3,2,8,11,26,20,35,18,11,59,44,54,53,56,29,17,50,41,38,34,26,15,8,33,31,25,26,36,14,11,32,42,39,43,43,14,13,50,58,46,39,36,20,13,54,50,56,68,37,16,27,48,33,54,56,55,27,54,82,91,53,64,89,18,12,67,43,53,85,99,57,41,80,126,82,89,66,42,39,148,110,96,105,74,28,27,94,90,85,93,85,59,46,86,111,96,108,92,29,29,98,109,81,97,128,50,22,84,83,81,57,76,42,26,70,69,79,85,43,25,26,67,65,61,54,30,13,8,16,0,0
"03",804708,"BAJA CALIFORNIA SUR",0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,1,1,0,0,0,0,0,0,0,0,0,1,1,2,1,0,0,0,1,0,1,2,0,1,0,3,2,1,2,2,1,1,3,3,6,2,6,6,0,11,10,17,14,17,7,10,29,31,29,28,27,21,13,58,34,45,41,18,19,12,43,32,37,23,17,12,9,20,28,13,9,11,7,19,13,19,22,21,12,2,5,24,15,25,24,30,15,5,23,30,9,10,22,9,3,6,17,18,31,35,26,14,36,33,29,30,34,31,53,42,43,33,51,82,52,19,42,46,29,65,92,32,32,49,79,84,71,59,21,22,103,103,80,90,43,57,34,88,81,103,119,89,63,59,93,80,90,117,105,43,20,108,115,132,98,142,33,7,47,0,0
"04",1000617,"CAMPECHE",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,2,0,2,2,3,5,2,5,6,7,3,7,5,2,1,5,7,6,2,2,2,22,18,10,7,10,5,7,5,21,13,5,7,29,8,7,11,10,7,11,9,8,9,18,7,14,12,9,25,7,16,13,14,21,29,32,6,16,17,15,19,28,20,16,25,41,46,27,79,16,10,46,72,31,24,43,24,50,29,120,38,71,40,5,10,48,60,45,37,47,22,15,42,43,33,68,52,16,12,56,101,57,59,60,12,11,64,41,28,53,39,22,11,44,39,54,41,35,17,7,27,0,0
"07",5730367,"CHIAPAS",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,2,3,1,2,1,1,2,3,7,1,2,14,8,6,17,7,10,14,20,19,18,14,11,5,10,9,17,4,7,6,5,14,20,14,10,16,11,9,19,35,13,23,22,20,14,15,22,12,14,20,9,11,50,40,24,23,32,21,8,35,22,21,34,44,33,12,40,35,28,43,36,18,17,35,45,31,47,28,24,26,53,35,36,30,39,23,17,27,36,36,34,36,16,9,21,11,33,22,19,11,11,33,33,28,25,19,11,4,20,18,26,24,21,17,11,25,19,19,9,15,8,9,30,19,12,22,16,6,4,10,0,0
"08",3801487,"CHIHUAHUA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,1,0,0,1,0,1,0,2,0,0,1,0,1,1,2,2,0,6,1,7,7,2,6,6,4,18,15,16,7,7,16,14,9,15,11,11,8,19,14,18,18,13,17,15,31,21,28,24,16,13,16,36,31,31,42,41,25,18,57,50,48,44,35,38,19,68,77,82,75,54,41,27,69,74,71,73,77,43,36,82,71,63,69,53,38,30,77,56,102,67,71,25,24,84,75,51,55,51,26,18,55,58,66,50,46,14,23,56,65,58,53,36,30,17,37,47,56,51,78,12,27,53,62,62,33,43,22,17,70,50,59,38,46,33,17,55,50,25,22,9,2,3,1,0,0
"09",9018645,"DISTRITO FEDERAL",0,0,10,6,1,3,11,6,4,13,14,1,3,10,16,10,10,11,1,6,12,10,8,10,11,2,13,6,9,3,6,4,0,0,0,11,11,2,5,1,5,17,7,3,4,6,2,1,3,3,3,1,6,2,1,7,4,8,12,12,3,3,22,7,14,16,16,6,7,19,27,33,54,50,36,31,45,76,87,92,77,34,19,66,148,149,130,188,67,68,148,147,145,208,250,103,64,231,337,394,292,308,123,101,400,463,402,393,506,124,127,458,472,447,364,462,183,163,544,628,688,857,285,265,299,841,636,876,724,887,321,211,724,809,834,864,857,337,215,932,935,998,915,1041,409,270,1034,941,1086,835,917,481,250,1031,982,1130,1115,1145,426,221,1142,1096,1127,1230,1291,520,363,1399,1303,1335,1223,1207,488,294,1050,1249,1198,1275,1255,443,350,1522,1340,1452,1304,1593,497,414,1550,1522,1546,1515,1558,544,315,1592,1591,2392,2219,1930,625,222,316,6,0
"05",3218720,"COAHUILA",0,0,1,0,1,1,4,0,1,0,0,0,2,2,2,6,2,3,0,1,4,3,5,3,2,0,0,5,5,5,2,5,0,1,2,7,2,4,0,1,0,4,3,1,1,1,1,0,4,6,3,2,0,0,1,4,3,3,5,3,1,1,0,3,2,2,0,1,4,4,6,2,5,3,2,5,8,6,12,11,11,12,14,9,20,41,32,54,21,37,67,51,49,92,116,57,75,134,122,114,72,111,52,29,101,111,82,136,105,38,15,103,79,81,77,111,40,38,91,83,122,147,93,42,52,119,132,68,107,165,77,21,158,177,149,160,185,97,51,253,162,214,184,198,108,66,188,180,180,169,248,165,98,308,336,387,339,415,223,74,279,387,334,250,416,112,74,270,283,248,226,252,157,43,220,349,233,364,277,43,34,212,220,255,248,273,118,82,211,253,124,114,174,61,45,136,190,108,95,234,82,15,27,1,0
"06",785153,"COLIMA",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,1,0,0,0,1,0,3,3,0,0,2,0,0,3,2,0,1,1,6,8,5,4,1,1,3,5,5,8,3,5,0,3,1,3,6,1,1,6,2,4,3,9,2,3,1,7,8,6,6,5,2,0,4,5,4,14,5,2,7,7,7,2,15,10,6,4,8,6,9,7,10,15,8,14,17,15,13,13,13,5,7,13,9,8,15,6,9,9,15,7,11,19,17,11,3,15,11,14,17,12,5,5,10,8,13,19,23,8,7,22,19,15,9,17,6,16,15,19,21,27,13,11,9,31,25,24,22,15,15,15,36,22,31,14,10,10,10,26,0,0
"10",1868996,"DURANGO",0,0,0,0,2,1,1,1,2,1,1,0,3,0,1,2,0,0,0,4,1,1,1,0,0,1,1,2,3,0,1,0,0,1,2,0,1,0,1,3,0,4,0,1,0,0,0,2,1,1,0,1,0,0,0,1,1,0,1,0,1,0,2,2,1,2,1,0,1,6,0,1,3,1,1,0,0,4,2,6,0,1,0,5,13,8,18,19,3,3,6,11,15,32,12,27,10,21,19,13,5,7,2,3,13,17,17,16,14,5,6,19,32,10,42,25,10,8,13,24,31,40,11,72,25,30,35,32,37,47,12,5,50,39,44,24,59,14,9,27,35,37,63,45,10,11,56,48,55,115,97,60,14,74,119,108,92,138,26,25,130,148,119,177,194,64,27,189,167,95,145,180,32,25,85,109,128,122,173,87,19,80,121,94,152,117,35,25,116,126,123,111,142,41,32,157,148,133,177,122,30,7,75,0,0
