cve_ent,poblacion,nombre,17-03-2020,18-03-2020,19-03-2020,20-03-2020,21-03-2020,22-03-2020,23-03-2020,24-03-2020,25-03-2020,26-03-2020,27-03-2020,28-03-2020,29-03-2020,30-03-2020,31-03-2020,01-04-2020,02-04-2020,03-04-2020,04-04-2020,05-04-2020,06-04-2020,07-04-2020,08-04-2020,09-04-2020,10-04-2020,11-04-2020,12-04-2020,13-04-2020,14-04-2020,15-04-2020,16-04-2020,17-04-2020,18-04-2020,19-04-2020,20-04-2020,21-04-2020,22-04-2020,23-04-2020,24-04-2020,25-04-2020,26-04-2020,27-04-2020,28-04-2020,29-04-2020,30-04-2020,01-05-2020,02-05-2020,03-05-2020,04-05-2020,05-05-2020,06-05-2020,07-05-2020,08-05-2020,09-05-2020,10-05-2020,11-05-2020,12-05-2020
"01",1434635,"AGUASCALIENTES",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,1,0,1,0,0,0,1,0,2,2,0,0,0,0,0
"02",3634868,"BAJA CALIFORNIA",0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,5,2,5,1,10,5,6,5,6,9,11,7,10,14,10,15,13,16,10,11,14,14,21,12,12,25,13,20,12,14,15,5,12,14,14,12,13,11,3,5,0
"03",804708,"BAJA CALIFORNIA SUR",0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,1,0,0,1,1,1,0,0,1,1,0,0,1,1,2,0,1,0,2,0,1,1,0,0,0,1,0,0,2,0,1,0,1,0,0
"04",1000617,"CAMPECHE",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,2,0,1,2,2,2,2,1,1,0,3,0,1,1,1,0,1,1,0,0,2,1,0,0
"07",5730367,"CHIAPAS",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,1,1,1,1,3,0,0,3,1,1,1,1,2,1,1
"08",3801487,"CHIHUAHUA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,2,6,6,4,1,1,4,3,2,6,2,7,4,3,5,8,6,2,14,5,5,4,3,5,7,8,1,5,6,2,1,2,1,0,1,0,0
"09",9018645,"DISTRITO FEDERAL",0,0,0,0,0,1,1,0,1,3,3,1,2,4,6,5,5,7,4,4,16,10,5,17,20,19,8,12,19,19,19,13,18,20,15,28,18,20,25,26,27,17,18,26,39,31,26,39,24,30,22,17,16,19,19,5,0
"05",3218720,"COAHUILA",0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,2,2,0,2,1,4,0,1,1,0,0,1,3,1,3,0,0,2,4,2,2,2,2,2,2,0,2,0,0,0,1,1,3,0,3,0,1,0,0,0,0
"06",785153,"COLIMA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0
"10",1868996,"DURANGO",0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,2,1,0,0,0,0,1,1,0,0,0
"11",6228175,"GUANAJUATO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,1,1,0,0,0,2,1,0,3,0,0,0,2,3,3,1,2,2,0,0,2,3,3,2,3,2,1,3,2,4,3,1,0,0
"12",3657048,"GUERRERO",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,2,0,0,1,0,0,1,1,1,3,0,1,3,4,3,6,3,3,1,4,1,8,2,1,2,1,5,1,3,2,6,4,2,1,1,0,0
"13",3086414,"HIDALGO",0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,1,0,0,0,0,2,0,0,0,0,0,2,3,0,0,2,1,0,0,2,1,0,7,5,1,5,1,2,7,1,5,6,3,4,8,6,4,6,4,0
"14",8409693,"JALISCO",0,0,0,1,0,0,0,0,0,2,0,0,0,0,1,0,2,0,0,1,0,1,1,0,1,1,0,0,0,0,1,1,0,2,1,1,3,1,3,2,0,1,2,2,2,0,3,3,3,3,5,2,0,3,2,0,0
"15",17427790,"MEXICO",0,1,0,0,0,0,0,0,0,0,0,3,1,0,2,1,4,3,4,4,4,9,6,2,5,9,12,10,11,18,11,10,21,12,19,19,18,18,26,22,28,22,17,28,22,28,29,20,22,18,11,12,5,5,1,3,1
"16",4825401,"MICHOACAN",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,1,0,1,0,1,1,1,1,0,4,1,0,2,0,1,2,4,0,1,3,2,4,3,1,3,5,5,2,1,1,1,2,0,2,2,3,3,0,0
"17",2044058,"MORELOS",0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,1,1,1,0,0,0,0,3,1,2,1,2,0,3,3,4,6,6,2,5,7,3,9,7,5,9,12,7,5,5,7,4,0,2,0,0,0
