cve_ent,poblacion,nombre,17-03-2020,18-03-2020,19-03-2020,20-03-2020,21-03-2020,22-03-2020,23-03-2020,24-03-2020,25-03-2020,26-03-2020,27-03-2020,28-03-2020,29-03-2020,30-03-2020,31-03-2020,01-04-2020,02-04-2020,03-04-2020,04-04-2020,05-04-2020,06-04-2020,07-04-2020,08-04-2020,09-04-2020,10-04-2020,11-04-2020,12-04-2020,13-04-2020,14-04-2020,15-04-2020,16-04-2020,17-04-2020,18-04-2020,19-04-2020,20-04-2020,21-04-2020,22-04-2020,23-04-2020,24-04-2020,25-04-2020,26-04-2020,27-04-2020,28-04-2020,29-04-2020,30-04-2020,01-05-2020,02-05-2020,03-05-2020,04-05-2020,05-05-2020,06-05-2020,07-05-2020,08-05-2020,09-05-2020,10-05-2020,11-05-2020,12-05-2020,13-05-2020,14-05-2020,15-05-2020,16-05-2020,17-05-2020,18-05-2020,19-05-2020,20-05-2020,21-05-2020,22-05-2020,23-05-2020,24-05-2020,25-05-2020,26-05-2020,27-05-2020,28-05-2020,29-05-2020,30-05-2020,31-05-2020,01-06-2020,02-06-2020,03-06-2020,04-06-2020,05-06-2020,06-06-2020,07-06-2020,08-06-2020,09-06-2020,10-06-2020,11-06-2020,12-06-2020,13-06-2020,14-06-2020,15-06-2020,16-06-2020,17-06-2020,18-06-2020,19-06-2020,20-06-2020,21-06-2020,22-06-2020,23-06-2020,24-06-2020,25-06-2020,26-06-2020,27-06-2020,28-06-2020,29-06-2020,30-06-2020,01-07-2020,02-07-2020,03-07-2020,04-07-2020,05-07-2020,06-07-2020,07-07-2020,08-07-2020,09-07-2020,10-07-2020,11-07-2020,12-07-2020,13-07-2020,14-07-2020,15-07-2020,16-07-2020,17-07-2020,18-07-2020,19-07-2020,20-07-2020,21-07-2020,22-07-2020,23-07-2020,24-07-2020,25-07-2020,26-07-2020,27-07-2020,28-07-2020,29-07-2020,30-07-2020,31-07-2020,01-08-2020,02-08-2020,03-08-2020,04-08-2020,05-08-2020,06-08-2020,07-08-2020,08-08-2020,09-08-2020,10-08-2020
"01",1434635,"AGUASCALIENTES",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,1,0,1,0,0,0,1,0,3,3,1,0,1,0,0,2,1,1,1,4,0,0,0,2,1,0,4,1,1,4,3,3,2,2,2,3,4,3,1,5,4,2,4,6,3,7,2,3,3,5,4,5,5,4,4,1,2,5,3,9,4,1,4,2,2,3,4,7,3,2,6,5,3,1,4,4,3,5,3,4,2,3,2,3,2,2,8,8,5,4,3,3,2,2,3,2,2,2,4,2,1,0,0,0,0
"02",3634868,"BAJA CALIFORNIA",0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,5,2,5,1,10,5,6,5,7,9,12,8,12,17,10,20,16,16,14,15,18,19,24,18,18,28,21,29,22,21,26,14,30,31,28,26,33,34,27,30,30,36,36,27,30,40,50,33,40,21,26,27,31,31,29,29,36,18,32,29,32,29,23,27,25,39,26,30,17,28,21,30,26,30,22,18,28,22,20,13,19,23,23,22,24,24,20,15,28,30,19,24,26,27,33,41,26,23,18,25,24,23,17,18,8,22,24,17,22,24,17,19,20,14,25,15,20,18,12,21,15,12,15,20,25,12,8,9,9,3,0
"03",804708,"BAJA CALIFORNIA SUR",0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,1,0,0,1,1,1,0,0,1,1,0,0,1,1,2,0,1,0,2,0,1,1,0,0,0,1,1,0,2,0,2,0,2,1,0,1,1,0,1,1,1,0,1,0,1,0,1,0,1,2,0,1,0,0,1,1,2,3,3,0,0,0,1,0,2,2,2,4,4,1,1,1,1,2,0,1,1,1,1,1,3,0,1,4,1,5,4,1,2,2,0,1,3,3,4,5,4,4,2,2,7,2,3,4,4,5,4,6,3,7,5,6,8,7,3,3,2,3,2,2,0,3,0,0,0
"04",1000617,"CAMPECHE",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,2,0,1,2,2,2,2,1,1,0,3,0,2,2,1,0,1,1,1,1,3,1,2,2,1,4,5,3,2,2,2,4,1,1,1,5,3,3,1,4,3,2,0,2,4,3,2,2,2,6,9,3,2,2,2,6,4,6,3,8,2,4,8,4,5,8,8,5,8,14,12,10,6,12,8,11,9,7,11,14,10,12,15,13,10,11,10,7,12,9,9,11,9,9,8,5,9,7,14,7,8,12,4,9,11,9,17,7,6,5,2,2,1,0
"07",5730367,"CHIAPAS",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,1,1,1,1,1,4,0,0,3,1,1,2,4,7,5,5,5,3,2,3,5,5,11,6,2,10,8,11,13,4,10,13,11,14,11,15,24,22,16,19,10,24,26,26,15,11,22,13,11,15,21,14,15,11,12,9,17,17,22,12,16,13,26,11,18,11,8,12,15,18,9,18,11,12,14,13,16,10,14,11,11,10,8,2,10,7,6,3,5,3,3,6,3,7,4,6,6,4,7,5,6,2,0,1,2,1
"08",3801487,"CHIHUAHUA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,2,6,6,4,1,1,4,3,2,7,2,7,5,4,8,10,7,2,14,8,5,6,6,7,10,15,6,9,11,5,12,17,11,11,12,8,10,14,13,9,5,8,13,16,8,3,10,13,3,9,14,8,12,10,8,6,10,11,9,5,12,16,14,16,9,9,12,8,7,13,10,11,10,7,6,6,5,10,6,6,6,8,3,7,8,8,5,5,10,4,4,11,8,7,10,12,10,7,9,5,3,6,5,5,8,9,6,9,7,5,6,8,5,12,10,10,3,3,5,6,8,7,3,1,0,0,0
"09",9018645,"DISTRITO FEDERAL",0,0,0,0,0,1,1,0,1,3,4,1,2,4,7,5,5,7,6,4,16,11,6,17,23,23,11,14,24,22,25,17,25,30,35,40,28,36,46,62,57,47,40,63,78,70,56,68,66,80,80,69,82,72,81,76,88,93,99,100,97,110,111,103,87,116,96,99,101,99,97,86,98,82,78,104,99,74,99,94,91,95,88,96,89,93,96,101,103,87,64,99,92,85,79,59,77,59,61,52,48,62,69,53,44,60,71,56,57,60,53,60,62,41,43,34,48,56,39,55,54,42,41,50,45,39,39,25,36,29,41,37,37,41,27,42,35,31,40,33,42,44,28,27,30,3,0
"05",3218720,"COAHUILA",0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,2,2,1,2,1,3,0,1,1,0,0,1,5,1,3,0,0,2,4,2,2,2,2,2,2,0,2,0,0,0,1,2,4,1,3,1,1,1,2,2,0,0,0,3,4,2,0,0,1,1,1,2,6,2,3,0,3,4,1,1,1,1,4,3,6,4,8,7,4,5,7,4,4,8,5,7,9,3,6,3,8,6,6,11,7,11,9,7,18,17,14,11,18,18,11,14,15,11,17,10,10,10,16,20,23,20,15,18,17,21,24,17,20,11,15,9,11,20,14,21,15,28,17,18,24,17,8,15,5,2,0
"06",785153,"COLIMA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,2,1,0,0,0,0,0,1,0,0,0,1,1,0,1,0,2,1,1,0,4,0,2,1,0,1,0,2,1,0,1,0,1,2,1,0,0,2,1,1,1,1,1,2,2,2,2,4,3,2,4,1,5,1,3,2,0,2,3,1,0,2,2,3,0,3,4,4,9,6,6,4,6,5,7,2,2,5,7,8,1,10,3,3,7,4,2,6,6,9,2,10,5,6,6,3,6,5,0
"10",1868996,"DURANGO",0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,1,0,0,1,2,1,0,0,0,0,2,1,0,0,0,1,3,3,2,1,0,0,4,1,0,0,3,3,2,2,4,3,0,3,1,4,1,2,4,2,2,3,2,6,4,7,4,6,6,6,9,2,3,1,3,3,4,5,5,5,2,5,2,2,7,5,2,3,4,4,7,7,5,2,10,6,4,7,4,7,6,6,3,10,2,4,6,1,8,4,4,1,3,4,9,4,3,5,6,7,2,1,0,0,0
