cve_ent,poblacion,nombre,12-01-2020,13-01-2020,14-01-2020,15-01-2020,16-01-2020,17-01-2020,18-01-2020,19-01-2020,20-01-2020,21-01-2020,22-01-2020,23-01-2020,24-01-2020,25-01-2020,26-01-2020,27-01-2020,28-01-2020,29-01-2020,30-01-2020,31-01-2020,01-02-2020,02-02-2020,03-02-2020,04-02-2020,05-02-2020,06-02-2020,07-02-2020,08-02-2020,09-02-2020,10-02-2020,11-02-2020,12-02-2020,13-02-2020,14-02-2020,15-02-2020,16-02-2020,17-02-2020,18-02-2020,19-02-2020,20-02-2020,21-02-2020,22-02-2020,23-02-2020,24-02-2020,25-02-2020,26-02-2020,27-02-2020,28-02-2020,29-02-2020,01-03-2020,02-03-2020,03-03-2020,04-03-2020,05-03-2020,06-03-2020,07-03-2020,08-03-2020,09-03-2020,10-03-2020,11-03-2020,12-03-2020,13-03-2020,14-03-2020,15-03-2020,16-03-2020,17-03-2020,18-03-2020,19-03-2020,20-03-2020,21-03-2020,22-03-2020,23-03-2020,24-03-2020,25-03-2020,26-03-2020,27-03-2020,28-03-2020,29-03-2020,30-03-2020,31-03-2020,01-04-2020,02-04-2020,03-04-2020,04-04-2020,05-04-2020,06-04-2020,07-04-2020,08-04-2020,09-04-2020,10-04-2020,11-04-2020,12-04-2020,13-04-2020,14-04-2020,15-04-2020,16-04-2020,17-04-2020,18-04-2020,19-04-2020,20-04-2020,21-04-2020,22-04-2020,23-04-2020,24-04-2020,25-04-2020,26-04-2020,27-04-2020,28-04-2020,29-04-2020,30-04-2020,01-05-2020,02-05-2020,03-05-2020,04-05-2020,05-05-2020,06-05-2020,07-05-2020,08-05-2020,09-05-2020,10-05-2020,11-05-2020,12-05-2020,13-05-2020,14-05-2020,15-05-2020,16-05-2020,17-05-2020,18-05-2020,19-05-2020,20-05-2020,21-05-2020,22-05-2020,23-05-2020,24-05-2020,25-05-2020,26-05-2020,27-05-2020,28-05-2020,29-05-2020,30-05-2020,31-05-2020,01-06-2020,02-06-2020
"01",1434635,"AGUASCALIENTES",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,3,1,2,1,1,4,0,17,3,6,5,3,4,1,0,0,2,0,3,4,1,1,0,3,1,2,7,2,11,6,15,12,3,17,13,10,20,11,1,7,15,27,17,25,4,4,3,48,11,15,23,13,0,4,12,43,14,22,27,3,7,35,19,26,30,23,17,8,38,37,33,42,33,5,1,0,0
"02",3634868,"BAJA CALIFORNIA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,3,4,5,6,3,2,10,9,7,11,16,7,21,29,45,65,29,38,24,20,67,40,59,59,48,34,44,81,103,103,86,97,46,41,108,103,91,108,85,44,64,108,94,103,85,86,65,85,138,128,104,111,129,70,69,125,108,114,105,117,60,63,165,131,142,139,163,60,64,110,104,82,69,40,20,1,4,2
"03",804708,"BAJA CALIFORNIA SUR",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,4,2,0,2,4,4,1,13,7,5,11,16,6,5,23,24,24,25,9,7,5,14,17,5,9,6,4,8,7,12,4,9,13,5,7,10,4,4,14,2,9,7,7,12,10,11,8,6,9,6,16,10,8,5,11,3,11,14,16,7,14,6,9,18,12,19,15,16,10,1,0,0
"04",1000617,"CAMPECHE",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,3,0,1,0,0,0,2,1,0,3,2,0,0,2,1,5,2,2,4,3,4,3,6,2,5,7,6,7,5,6,8,4,6,8,7,6,11,12,18,9,15,11,14,13,7,24,20,16,11,14,14,16,16,21,24,16,24,16,14,31,32,25,21,14,6,1,0,0
"07",5730367,"CHIAPAS",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,2,0,5,1,0,2,2,4,2,5,1,1,5,2,5,3,3,1,0,5,5,6,3,10,4,7,9,9,11,15,13,9,12,21,9,18,14,18,10,14,31,27,35,35,35,22,21,33,45,67,69,80,39,35,90,64,75,104,99,51,50,139,123,109,106,91,52,11,4,0
"08",3801487,"CHIHUAHUA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,3,1,1,0,1,2,2,2,2,5,3,5,7,6,6,8,12,10,7,10,7,12,12,9,16,11,16,24,16,15,15,32,25,30,47,37,24,21,50,51,54,55,36,39,24,48,57,43,33,41,31,25,58,32,57,47,42,36,25,52,41,36,34,44,18,21,39,26,20,10,5,0,0,0,0
"09",9018645,"DISTRITO FEDERAL",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,1,0,1,1,0,3,12,17,24,21,10,26,34,31,39,24,12,11,25,34,25,51,39,49,35,77,51,55,71,80,56,54,117,127,125,127,147,112,114,266,246,225,246,327,197,185,439,429,398,341,503,243,221,477,530,559,511,316,319,283,697,570,668,670,759,361,324,738,736,809,705,816,470,337,916,902,899,866,758,363,276,874,743,812,615,526,127,37,30,2
"05",3218720,"COAHUILA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,2,2,3,4,0,0,1,6,0,3,4,4,8,18,14,17,18,22,11,4,26,8,18,7,11,7,6,15,16,16,4,9,7,9,9,19,14,10,14,3,3,24,16,13,21,15,4,5,26,32,36,24,17,9,14,26,28,12,23,18,7,13,38,36,36,49,38,27,12,28,40,35,27,33,9,0,1,0
"06",785153,"COLIMA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,1,2,0,0,1,2,2,1,1,1,1,1,3,2,1,0,2,0,0,3,1,0,2,2,5,1,1,2,3,1,2,6,4,12,4,3,5,7,7,8,3,7,4,6,6,7,4,6,5,3,0,0,0
"10",1868996,"DURANGO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,1,0,0,1,0,1,1,1,0,0,0,0,2,2,1,0,0,0,0,1,0,0,1,0,1,0,0,0,2,2,0,2,10,4,4,2,2,2,5,7,5,3,8,2,6,6,7,3,3,5,11,10,2,1,6,12,10,7,13,1,8,8,7,17,19,21,3,12,22,17,26,17,29,20,1,3,0
