cve_ent,poblacion,nombre,17-03-2020,18-03-2020,19-03-2020,20-03-2020,21-03-2020,22-03-2020,23-03-2020,24-03-2020,25-03-2020,26-03-2020,27-03-2020,28-03-2020,29-03-2020,30-03-2020,31-03-2020,01-04-2020,02-04-2020,03-04-2020,04-04-2020,05-04-2020,06-04-2020,07-04-2020,08-04-2020,09-04-2020,10-04-2020,11-04-2020,12-04-2020,13-04-2020,14-04-2020,15-04-2020,16-04-2020,17-04-2020,18-04-2020,19-04-2020,20-04-2020,21-04-2020,22-04-2020,23-04-2020,24-04-2020,25-04-2020,26-04-2020,27-04-2020,28-04-2020,29-04-2020,30-04-2020,01-05-2020,02-05-2020,03-05-2020,04-05-2020,05-05-2020,06-05-2020,07-05-2020,08-05-2020,09-05-2020,10-05-2020,11-05-2020,12-05-2020,13-05-2020,14-05-2020,15-05-2020,16-05-2020,17-05-2020,18-05-2020,19-05-2020,20-05-2020,21-05-2020,22-05-2020,23-05-2020,24-05-2020,25-05-2020,26-05-2020,27-05-2020,28-05-2020,29-05-2020,30-05-2020,31-05-2020,01-06-2020,02-06-2020,03-06-2020,04-06-2020,05-06-2020,06-06-2020,07-06-2020,08-06-2020,09-06-2020,10-06-2020,11-06-2020,12-06-2020,13-06-2020,14-06-2020,15-06-2020,16-06-2020,17-06-2020,18-06-2020,19-06-2020,20-06-2020,21-06-2020,22-06-2020,23-06-2020,24-06-2020,25-06-2020,26-06-2020,27-06-2020,28-06-2020,29-06-2020,30-06-2020,01-07-2020,02-07-2020,03-07-2020,04-07-2020,05-07-2020,06-07-2020,07-07-2020,08-07-2020,09-07-2020,10-07-2020,11-07-2020,12-07-2020,13-07-2020,14-07-2020,15-07-2020
"11",6228175,"GUANAJUATO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,1,1,0,0,0,2,1,0,3,0,0,0,2,3,3,1,3,2,0,0,2,3,3,2,3,3,2,3,4,6,4,1,3,1,4,2,4,3,1,5,3,1,2,6,3,2,6,3,3,4,0,2,6,2,5,4,5,7,10,7,12,6,15,14,8,10,4,11,11,7,20,12,15,11,12,15,13,16,10,19,12,20,14,14,20,13,18,21,16,20,25,21,11,16,18,8,2,0
"12",3657048,"GUERRERO",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,2,0,0,1,0,0,1,1,1,3,0,1,3,4,3,7,3,3,1,4,1,8,5,4,2,2,8,4,4,5,10,6,4,10,6,7,7,8,8,13,14,16,16,12,23,17,18,18,18,27,22,24,17,21,17,22,19,26,17,17,22,18,23,20,18,21,17,16,25,21,13,19,21,18,26,13,15,25,11,14,15,18,15,18,17,18,8,9,9,15,8,11,15,8,7,9,10,3,10,8,0
"13",3086414,"HIDALGO",0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,1,0,0,0,0,2,0,0,0,0,0,2,3,0,0,2,1,1,2,2,2,1,7,7,1,5,2,5,9,2,7,10,10,7,8,9,6,10,8,12,9,14,15,9,11,14,7,16,17,12,11,11,12,11,12,12,11,10,13,9,6,15,5,3,3,12,15,8,12,10,5,8,15,10,11,12,12,11,8,10,8,12,13,6,18,6,12,10,6,16,12,9,5,7,5,10,7,7,11,6,10,6,3,1
"14",8409693,"JALISCO",0,0,0,1,0,0,0,0,0,2,0,0,0,0,1,0,2,0,0,1,0,1,1,0,1,1,0,0,0,0,1,1,0,2,1,1,3,1,3,2,0,1,3,2,3,0,4,3,3,3,5,3,0,3,3,2,3,3,4,7,9,5,3,1,6,9,2,4,3,8,5,4,3,5,14,10,19,10,18,20,16,16,20,13,20,13,22,23,14,27,16,23,27,14,22,26,24,20,26,25,26,18,22,24,33,20,30,21,30,32,24,25,21,21,22,16,28,18,17,3,0
"15",17427790,"MEXICO",0,1,0,0,0,0,0,0,0,0,0,4,1,1,2,1,5,3,5,5,4,10,6,5,7,12,17,19,16,18,16,21,28,27,33,35,37,35,46,43,65,50,52,64,60,73,63,59,89,61,55,65,60,60,64,67,56,83,73,86,84,101,88,96,80,95,95,80,101,92,101,89,84,93,98,106,100,93,115,100,97,101,106,104,115,106,114,100,101,100,116,115,106,88,104,72,74,86,76,75,62,73,81,83,107,73,69,80,51,60,73,88,64,70,65,56,58,39,35,12,1
"16",4825401,"MICHOACAN",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,1,0,1,0,1,1,1,1,0,4,2,1,2,0,1,2,4,0,1,3,2,4,3,1,3,5,5,2,1,1,4,5,0,2,4,4,3,3,2,6,10,3,6,6,4,8,9,10,7,4,9,11,6,12,8,2,4,6,8,6,6,14,7,9,7,10,6,11,10,9,13,16,18,15,20,12,11,13,10,7,8,10,6,8,15,11,4,5,10,8,5,7,7,7,5,5,4,4,8,3,8,2,0
"17",2044058,"MORELOS",0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,1,1,1,0,1,0,0,3,1,2,1,3,0,3,6,6,8,6,4,7,8,7,9,11,8,15,16,12,20,16,14,12,13,14,16,16,11,22,9,10,9,10,14,17,22,15,9,15,7,8,10,6,7,5,7,12,13,13,6,7,7,11,8,8,9,12,7,8,9,7,7,10,6,5,9,3,9,6,9,4,1,7,3,4,9,5,7,3,5,5,4,1,1,3,2,4,1,2,2,1,1
"18",1288571,"NAYARIT",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,1,0,0,1,0,0,0,0,1,0,0,2,0,0,0,0,0,1,1,0,0,0,0,1,2,3,2,0,1,1,0,2,1,0,0,4,2,2,3,2,3,0,2,1,0,2,0,3,5,6,2,6,5,1,6,3,3,0,8,4,7,5,3,4,1,1,8,3,5,7,5,9,9,9,3,6,5,8,1,6,6,6,3,1,1,3,3,3,6,4,5,6,3,3,4,4,0,0
"19",5610153,"NUEVO LEON",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,2,0,0,0,0,0,1,0,0,1,0,0,1,1,0,2,1,1,1,1,2,2,2,1,2,3,2,2,3,2,2,0,3,3,3,4,4,3,4,3,3,4,5,6,3,3,2,1,9,5,4,4,6,3,2,4,2,6,10,3,7,3,5,6,6,5,10,10,5,13,11,10,11,10,7,11,10,9,11,10,18,12,14,11,20,17,21,17,12,18,19,10,16,19,8,16,20,3,0,0
"20",4143593,"OAXACA",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,1,0,1,1,1,1,4,1,0,1,3,0,1,4,1,1,2,4,3,4,4,5,4,2,4,5,6,7,8,3,7,7,12,5,3,7,9,14,11,8,10,7,13,15,16,12,10,6,12,4,12,16,17,22,20,10,17,26,12,17,22,19,11,9,6,14,17,20,14,9,15,12,9,5,7,15,6,11,17,14,11,13,8,11,8,7,9,10,2,2
