cve_ent,poblacion,nombre,29-01-2020,30-01-2020,31-01-2020,01-02-2020,02-02-2020,03-02-2020,04-02-2020,05-02-2020,06-02-2020,07-02-2020,08-02-2020,09-02-2020,10-02-2020,11-02-2020,12-02-2020,13-02-2020,14-02-2020,15-02-2020,16-02-2020,17-02-2020,18-02-2020,19-02-2020,20-02-2020,21-02-2020,22-02-2020,23-02-2020,24-02-2020,25-02-2020,26-02-2020,27-02-2020,28-02-2020,29-02-2020,01-03-2020,02-03-2020,03-03-2020,04-03-2020,05-03-2020,06-03-2020,07-03-2020,08-03-2020,09-03-2020,10-03-2020,11-03-2020,12-03-2020,13-03-2020,14-03-2020,15-03-2020,16-03-2020,17-03-2020,18-03-2020,19-03-2020,20-03-2020,21-03-2020,22-03-2020,23-03-2020,24-03-2020,25-03-2020,26-03-2020,27-03-2020,28-03-2020,29-03-2020,30-03-2020,31-03-2020,01-04-2020,02-04-2020,03-04-2020,04-04-2020,05-04-2020,06-04-2020,07-04-2020,08-04-2020,09-04-2020,10-04-2020,11-04-2020,12-04-2020,13-04-2020,14-04-2020,15-04-2020,16-04-2020,17-04-2020,18-04-2020,19-04-2020,20-04-2020,21-04-2020,22-04-2020,23-04-2020,24-04-2020,25-04-2020,26-04-2020,27-04-2020,28-04-2020,29-04-2020,30-04-2020,01-05-2020,02-05-2020,03-05-2020,04-05-2020,05-05-2020,06-05-2020,07-05-2020,08-05-2020,09-05-2020,10-05-2020,11-05-2020,12-05-2020,13-05-2020,14-05-2020,15-05-2020,16-05-2020,17-05-2020,18-05-2020,19-05-2020,20-05-2020,21-05-2020,22-05-2020,23-05-2020,24-05-2020,25-05-2020,26-05-2020,27-05-2020,28-05-2020,29-05-2020,30-05-2020,31-05-2020,01-06-2020,02-06-2020,03-06-2020,04-06-2020,05-06-2020,06-06-2020,07-06-2020,08-06-2020,09-06-2020,10-06-2020,11-06-2020,12-06-2020,13-06-2020,14-06-2020,15-06-2020,16-06-2020,17-06-2020,18-06-2020,19-06-2020,20-06-2020,21-06-2020,22-06-2020,23-06-2020,24-06-2020,25-06-2020,26-06-2020,27-06-2020,28-06-2020,29-06-2020,30-06-2020,01-07-2020,02-07-2020,03-07-2020,04-07-2020,05-07-2020,06-07-2020,07-07-2020,08-07-2020,09-07-2020,10-07-2020,11-07-2020,12-07-2020,13-07-2020,14-07-2020,15-07-2020,16-07-2020,17-07-2020,18-07-2020,19-07-2020,20-07-2020,21-07-2020,22-07-2020,23-07-2020,24-07-2020,25-07-2020,26-07-2020,27-07-2020,28-07-2020,29-07-2020,30-07-2020,31-07-2020,01-08-2020,02-08-2020,03-08-2020,04-08-2020,05-08-2020,06-08-2020,07-08-2020,08-08-2020,09-08-2020,10-08-2020,11-08-2020,12-08-2020,13-08-2020,14-08-2020,15-08-2020,16-08-2020,17-08-2020,18-08-2020,19-08-2020,20-08-2020,21-08-2020,22-08-2020,23-08-2020,24-08-2020,25-08-2020,26-08-2020,27-08-2020,28-08-2020,29-08-2020,30-08-2020,31-08-2020,01-09-2020,02-09-2020,03-09-2020
"01",1434635,"AGUASCALIENTES",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,2,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,1,1,1,0,0,2,4,3,2,4,0,2,0,6,3,4,1,0,3,7,2,2,1,2,1,6,5,8,9,12,12,48,97,155,110,13
"02",3634868,"BAJA CALIFORNIA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,2,2,0,0,1,0,2,1,1,0,0,0,1,0,1,1,1,1,2,0,0,2,1,2,1,0,1,3,4,0,5,1,0,1,2,19,3,7,1,0,4,9,5,2,1,1,0,0,3,1,0,2,0,0,2,2,0,2,0,0,2,2,8,3,5,4,2,0,5,0,2,3,1,0,0,7,2,3,2,2,0,1,1,0,4,3,29,0,0,3,2,3,5,1,0,0,3,3,2,3,3,0,0,3,6,4,4,3,1,3,12,10,15,25,85,39,28,232,231,137,0
"03",804708,"BAJA CALIFORNIA SUR",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,2,1,1,0,0,1,0,2,0,6,0,0,0,1,0,3,0,1,0,0,2,1,4,2,0,2,2,1,4,3,1,1,0,0,1,2,3,5,5,0,0,2,0,0,0,0,1,1,4,3,0,2,0,0,0,2,1,0,0,0,0,0,1,1,6,2,7,2,2,40,53,212,1
"04",1000617,"CAMPECHE",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,2,1,0,0,1,1,0,1,2,0,1,0,2,0,1,0,1,0,1,0,0,1,1,0,0,1,0,0,2,1,0,0,1,0,0,0,0,1,0,1,2,1,0,0,0,1,0,0,2,1,0,0,0,1,0,2,1,5,3,1,13,15,64,0
"07",5730367,"CHIAPAS",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,2,0,0,5,0,1,0,0,1,0,0,0,0,1,1,0,2,0,1,0,0,0,1,0,2,9,17,10,9,0,0,3,1,0,3,0,0,0,1,2,0,1,3,1,0,2,0,0,10,2,2,0,2,0,0,0,0,0,0,0,2,1,0,1,1,0,0,1,0,1,4,0,0,2,1,1,1,0,0,0,1,0,1,0,2,1,0,2,0,0,2,0,0,0,0,2,1,2,2,2,0,1,4,2,3,6,4,3,9,13,27,3
"08",3801487,"CHIHUAHUA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,1,3,1,0,0,1,2,0,4,5,2,2,2,2,0,4,3,2,1,5,4,3,3,7,4,0,3,2,1,8,6,5,7,4,5,1,9,9,7,10,8,2,0,10,12,6,3,13,4,6,11,8,7,4,8,0,1,7,3,7,4,4,0,1,1,8,4,4,6,4,1,1,3,3,10,13,6,4,13,13,7,12,8,7,4,8,6,17,15,11,4,2,10,9,15,17,12,7,10,17,12,23,23,19,3,10,23,40,36,51,18,22,8,43,34,37,38,42,28,15,58,47,45,57,74,27,14,54,59,92,104,82,32,30,127,152,188,165,120,80,61,164,196,126,4
"09",9018645,"DISTRITO FEDERAL",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,2,0,0,0,0,0,1,2,3,3,3,2,5,7,4,6,3,7,8,8,12,12,15,9,8,13,5,13,14,15,24,17,22,19,24,37,37,28,39,36,29,67,62,46,68,54,39,35,79,68,77,60,75,56,58,85,116,73,70,89,47,41,66,57,93,80,84,63,32,77,77,67,73,72,45,39,89,70,72,90,73,58,45,99,82,80,96,95,44,37,102,72,98,81,67,47,32,81,135,85,67,92,39,37,94,97,83,110,118,59,26,101,77,88,76,73,45,35,91,76,81,98,72,56,32,73,67,63,71,96,45,24,77,50,66,95,94,68,33,95,109,99,88,106,64,62,128,102,149,235,628,813,229,1723,3887,4135,210
"05",3218720,"COAHUILA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,5,4,1,0,1,2,2,4,9,3,5,11,6,8,7,12,4,1,19,13,15,18,52,14,6,14,10,13,9,8,9,4,26,24,32,30,24,14,6,32,22,17,9,19,3,4,17,17,16,12,32,12,4,27,32,28,20,16,23,3,42,41,27,22,11,18,15,34,27,16,28,13,8,4,24,32,37,23,34,24,13,24,17,25,18,16,4,5,13,20,30,23,36,28,6,24,41,41,40,31,19,13,29,49,30,34,39,19,27,38,39,58,80,61,38,24,231,260,355,14
"06",785153,"COLIMA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,0,1,0,2,2,1,29,32,50,9
"10",1868996,"DURANGO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2,3,2,1,0,3,4,1,5,1,0,0,0,3,3,2,8,2,2,1,1,7,6,3,2,1,5,5,5,9,14,9,0,9,6,5,0,1,0,0,3,4,32,83,90,25,81,5,5,4,6,6,0,0,9,9,7,7,10,3,0,13,10,6,5,4,1,2,5,7,11,5,6,1,2,9,12,5,3,7,3,2,9,5,3,6,12,4,2,4,8,5,8,11,5,4,9,16,31,10,18,6,2,14,13,26,8,37,11,17,115,114,210,19
